subject_id	Classification	Group	mean_abu
Hv04	Alphapolyomavirus	HVs	1.72889318e-05
Hv04	Betapapillomavirus	HVs	0.0011537245798
Hv04	Deltapolyomavirus	HVs	3.47127e-07
Hv04	Gammapapillomavirus	HVs	0.000414115893
Hv04	Herpesviridae	HVs	2.603453e-07
Hv04	Molluscipoxvirus	HVs	4.1430196e-06
Hv04	Others	HVs	7.998057608849
Hv04	Papillomaviridae	HVs	0.0003525112545
Hv04	Polyomaviridae	HVs	0
Hv04	Poxviridae	HVs	0
Hv01	Alphapolyomavirus	HVs	3.817978e-07
Hv01	Betapapillomavirus	HVs	0.0008876757107
Hv01	Deltapolyomavirus	HVs	0
Hv01	Gammapapillomavirus	HVs	2.04180925e-05
Hv01	Herpesviridae	HVs	0
Hv01	Molluscipoxvirus	HVs	0
Hv01	Others	HVs	7.9990909517023
Hv01	Papillomaviridae	HVs	5.726967e-07
Hv01	Polyomaviridae	HVs	0
Hv01	Poxviridae	HVs	0
Hv02	Alphapolyomavirus	HVs	0.0008357194413
Hv02	Betapapillomavirus	HVs	1.4568846e-06
Hv02	Deltapolyomavirus	HVs	0
Hv02	Gammapapillomavirus	HVs	0.0002112098061
Hv02	Herpesviridae	HVs	9.30278e-07
Hv02	Molluscipoxvirus	HVs	8.858234e-07
Hv02	Others	HVs	7.9989497977666
Hv02	Papillomaviridae	HVs	0
Hv02	Polyomaviridae	HVs	0
Hv02	Poxviridae	HVs	0
Hv03	Alphapolyomavirus	HVs	1.167945e-06
Hv03	Betapapillomavirus	HVs	0.0032315518901
Hv03	Deltapolyomavirus	HVs	2.8637211e-06
Hv03	Gammapapillomavirus	HVs	4.15810954e-05
Hv03	Herpesviridae	HVs	1.0314131e-06
Hv03	Molluscipoxvirus	HVs	0
Hv03	Others	HVs	7.9964477342673
Hv03	Papillomaviridae	HVs	0.000248956608
Hv03	Polyomaviridae	HVs	2.511306e-05
Hv03	Poxviridae	HVs	0
DPt07	Alphapolyomavirus	Donor	5.1518838e-06
