site_specific	kingdom	group	mean_fold	sd
Ra	Bacteria	Post-Tx-offIS-12M	0.771892346440051	0.887073063022297
Ra	Bacteria	Post-Tx-offIS-24M	1.52453644653528	0.956924053025035
Ra	Bacteria	Post-Tx-onIS-1M	-0.0217957624584235	0.632318209509569
Ra	Bacteria	Post-Tx-onIS-2M	-0.0470135009056738	0.622022548300801
Ra	Bacteria	Post-Tx-onIS-3M	0.0028012696810875	0.937215492101334
Ra	Bacteria	Post-Tx-onIS-6M	0.822287243103294	0.769526692462252
Ra	Bacteria	Pre-Tx	0	NA
Ra	Eukaryotic virus	Post-Tx-offIS-12M	-2.20023007763088	1.50736753109707
Ra	Eukaryotic virus	Post-Tx-offIS-24M	-3.40296280943113	1.4063292363352
Ra	Eukaryotic virus	Post-Tx-onIS-1M	1.03609209907776	0.299636291618499
Ra	Eukaryotic virus	Post-Tx-onIS-2M	1.61090285507725	0.690125142749993
Ra	Eukaryotic virus	Post-Tx-onIS-3M	0.896499574187192	0.901781396644086
Ra	Eukaryotic virus	Post-Tx-onIS-6M	0.12539144741923	1.7341739181531
Ra	Eukaryotic virus	Pre-Tx	0	NA
Ra	Fungi	Post-Tx-offIS-12M	1.69346415034627	1.50409118596311
Ra	Fungi	Post-Tx-offIS-24M	2.60444507213971	1.51410401844945
Ra	Fungi	Post-Tx-onIS-1M	0.58263137713258	0.844411862909625
Ra	Fungi	Post-Tx-onIS-2M	1.08755234474457	0.496819428638112
Ra	Fungi	Post-Tx-onIS-3M	0.853963657243988	0.435238555055863
Ra	Fungi	Post-Tx-onIS-6M	1.5460796238545	1.94046455246096
Ra	Fungi	Pre-Tx	0	NA
Mb	Bacteria	Post-Tx-offIS-12M	0.934234824699142	0.699235215505577
Mb	Bacteria	Post-Tx-offIS-24M	1.3139591800996	0.529573312423257
Mb	Bacteria	Post-Tx-onIS-1M	0.0728763533549601	0.707771355191258
Mb	Bacteria	Post-Tx-onIS-2M	0.51390319130124	0.886394154756099
Mb	Bacteria	Post-Tx-onIS-3M	0.397486757146445	1.02139967205568
Mb	Bacteria	Post-Tx-onIS-6M	0.969432779593253	0.959417248918938
Mb	Bacteria	Pre-Tx	0	NA
Mb	Eukaryotic virus	Post-Tx-offIS-12M	-1.94993212656818	1.68906454555157
Mb	Eukaryotic virus	Post-Tx-offIS-24M	-3.03480816522977	1.46074171363908
Mb	Eukaryotic virus	Post-Tx-onIS-1M	0.0524583180049762	1.10847993138978
Mb	Eukaryotic virus	Post-Tx-onIS-2M	0.856149494820578	0.756811382909767
Mb	Eukaryotic virus	Post-Tx-onIS-3M	0.469173961930691	1.23924955703832
