grp	Type	Species	Genus	Family	relative
Pt01_Pre-Tx	HPV-mSK_189	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	17.0320999577654
Pt01_Pre-Tx	HPV-mSK_195	Gammapapillomavirus 15	Gammapapillomavirus	Papillomaviridae	13.2724229381936
Pt01_Pre-Tx	HPV-mSK_205	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	13.2661728064926
Pt01_Pre-Tx	HPV-mSK_206	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	8.125879888694
Pt01_Pre-Tx	HPV-mSK_225	Gammapapillomavirus 9	Gammapapillomavirus	Papillomaviridae	7.41880791973648
Pt01_Post-Tx-offIS-24M	HPV-mSK_189	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	1.47806377855144
Pt01_Post-Tx-offIS-24M	HPV-mSK_205	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	3.07005454691101
Pt01_Post-Tx-offIS-24M	HPV-mSK_206	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	2.15746196090045
Pt02_Pre-Tx	HPV-mSK_182	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	14.0691543220894
Pt02_Pre-Tx	HPV-mSK_194	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	8.6988747810012
Pt02_Pre-Tx	HPV-mSK_212	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	9.79219137279507
Pt02_Pre-Tx	HPV-mw18c39	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	40.6746168971916
Pt02_Pre-Tx	HPV112	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	5.11968534913898
Pt03_Pre-Tx	HPV-mSK_049	Gammapapillomavirus 18	Gammapapillomavirus	Papillomaviridae	6.49036868293842
Pt03_Pre-Tx	HPV-mSK_050	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	8.35594930541147
Pt03_Pre-Tx	HPV-mSK_090	Gammapapillomavirus 13	Gammapapillomavirus	Papillomaviridae	21.0961242337722
Pt03_Pre-Tx	HPV111	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	9.28737400034126
Pt03_Pre-Tx	HPV164	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	8.90620011032069
Pt04_Pre-Tx	HPV-mSK_223	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	9.28661502269906
Pt04_Pre-Tx	HPV-mSK_227	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	14.4545791789622
Pt04_Pre-Tx	HPV-mSK_234	Gammapapillomavirus 20	Gammapapillomavirus	Papillomaviridae	6.29126880296274
Pt04_Pre-Tx	HPV-mTVMBSHc33	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	12.2689513043755
Pt04_Pre-Tx	HPV17	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	13.1297819217953
Pt05_Pre-Tx	HPV-mSK_004	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	11.95656373172
Pt05_Pre-Tx	HPV145	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	6.96040702387958
Pt05_Pre-Tx	HPV223	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	9.28391687782432
Pt05_Pre-Tx	HPV5	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	14.4547691204729
Pt05_Pre-Tx	HPV8	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	6.90497282765352
Pt05_Post-Tx-offIS-12M	HPV-mSK_004	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	0.133926769155957
Pt05_Post-Tx-offIS-12M	HPV145	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	1.117972326576
Pt05_Post-Tx-offIS-12M	HPV5	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	0.671290579329622
Pt05_Post-Tx-offIS-12M	HPV8	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	0.280317974797301
Pt05_Post-Tx-offIS-24M	HPV5	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	1.20327458473782
