Group	freq	num	ratio	perc
Pre-Tx	1	141.89	10	0.497475632844822
Pre-Tx	2	73.06	20	0.256153144940748
Pre-Tx	3	36.5	30	0.127971390505575
Pre-Tx	4	18.08	40	0.0633896641189257
Pre-Tx	5	8.57	50	0.0300469812776103
Pre-Tx	6	4.01	60	0.0140593226281467
Pre-Tx	7	1.94	70	0.00680176705700863
Pre-Tx	8	0.97	80	0.00340088352850431
Pre-Tx	9	0.17	90	0.000596031133861581
Pre-Tx	10	0.03	100	0.000105181964799102
Post-Tx-onIS	1	100.65	10	0.522884305678217
Post-Tx-onIS	2	51.84	20	0.269312691568393
Post-Tx-onIS	3	22.86	30	0.118759416073562
Post-Tx-onIS	4	10.2	40	0.0529897657021144
Post-Tx-onIS	5	4.35	50	0.0225985765494311
Post-Tx-onIS	6	1.97	60	0.0102342978856044
Post-Tx-onIS	7	0.47	70	0.00244168528235233
Post-Tx-onIS	8	0.14	80	0.000727310509636864
Post-Tx-onIS	9	0.01	90	5.19507506883474e-05
Post-Tx-onIS	10	0	100	0
Post-Tx-offIS	1	94.4	10	0.709028090731561
Post-Tx-offIS	2	28.65	20	0.215187021180712
Post-Tx-offIS	3	7.3	30	0.0548295027790296
Post-Tx-offIS	4	1.84	40	0.0138200390566321
Post-Tx-offIS	5	0.67	50	0.00503229683040409
Post-Tx-offIS	6	0.21	60	0.00157728706624606
Post-Tx-offIS	8	0.01	80	7.51089079164789e-05
Post-Tx-offIS	7	0.06	70	0.000450653447498873
Post-Tx-offIS	9	0	90	0
Post-Tx-offIS	10	0	100	0
HVs	1	54.16	10	0.856013908645488
HVs	2	7.45	20	0.117749328275644
HVs	3	1.46	30	0.0230757072862336
HVs	4	0.19	40	0.003003003003003
HVs	5	0.01	50	0.000158052789631737
HVs	6	0	60	0
HVs	7	0	70	0
HVs	8	0	80	0
HVs	9	0	90	0
HVs	10	0	100	0
