Pt01	Pt02	Pt03	Pt04	Pt05	Pt06	Pt07	Pt08	Pt09	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt20	Pt21	Pt22	Pt23	Pt24	Pt05	Pt06	Pt07	Pt08	Pt10	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt20	Pt01	Pt02	Pt03	Pt04	Pt05	Pt06	Pt07	Pt08	Pt09	Pt10	Pt11	Pt24	Hv01	Hv02	Hv03	Hv04	Hv05	Hv06	Hv07	Hv08	Hv09	Hv10	Hv11	Hv12	Hv13	Hv14
MWPyV	0	0.00142587129682505	0.00306055644943373	0	0.00534178264110397	0.0487784037204897	75.0573557625772	0.0132367596005373	2.24523624238326	0.833854601387355	0.00656636985146273	1.60203609312891	0.153851111923525	0	0.278057918598949	0.217936096876055	0.0471599315271025	0.0475207913963584	0.654198119514532	0.199990681071411	0.994352526912098	0.245823833838846	0.258875768177496	0.00100909239225511	0	0	0	0	0.0313032034168765	0.531730922214357	0	0.939337371383901	69.542853036446	0	0.205976079895059	0	0	0	0	0	0	0.163924101625381	0	0.447232429160052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8817335	0	0	0	0
STLPyV	0	0.000890698312062619	0.0158055260812479	0.12975559967169	0.015849213876245	0.0405954893087733	10.5940310311862	0	0.126519152209576	0.0466696577513081	0.0238056103272096	32.4562148640315	5.96261865565535	0	0.240185823001585	0	0.00170567810748187	0.00304156522343824	0.182532502523647	7.09671309274834	0	0	0.0137316590706146	0	0	0	0	0	0	0	0	0	4.89291825423293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV195	0.00163428115037366	0.00144540356839929	2.85003528224283	0	0.0057371804444809	0	0	0.48394984812888	0.0963293596461363	0.0135556497347231	0.00258418351393899	0	0	0.447061521982347	0.0194333638846375	0	0	0	0	0.0455313614265307	0	0.00259143143178324	1.10510181339615	0.00213230073224413	0.216031367365556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV12	0.00102376650600541	0.0169071502398758	0.00174472409422272	0.176621747842388	0.0053005692711785	6.67423458893113	0	0.0991634591956254	0.147630088928491	1.08162126048963	0.0328050080041112	0	0	0	0.00514956091280718	0	0.828614552908034	3.94728412883382	0.102454538353891	0.0543128864525511	0	0	0.000535439012930642	0.00342390852242526	0	0.778267509755438	0	0	0	0	0	0	0	0.0511258033581054	0.141862662294191	0	2.2833077356003	0.313166058739507	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3200984	0	0	0	0	0	0	0	0	0	0
HPV17	0	0.0551396466032639	0.0742712540299545	13.1297819217953	0.0213138174411202	0	13.1625114182437	0.0463901550130411	0.00122087021513088	0.388882156205538	0.30988420363066	0	0	0.484747250348787	0.0166187170884448	0	0	0	0	0	0.0198897783806547	0	0	0.0470210221091908	0	0	0	0	0.0165476241868586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220951386738248	0	0	0	0	8.681422	0	0	0	0	0	0	0	0	0	0
HPV147	0	0.00113464945081741	0.00908426846723826	0	0.126086523944332	0.0139253749400736	0.175031736173924	0.0355820841029194	1.39733259131797	0.196480498552259	2.39510185176698	0	0	0	0.253042880722946	0	0.000271494539888867	0.204943934047879	6.98545580066522	0	0	0	0	71.8541860145897	0	0.810609333609799	0	0	0	0	0	0	0	1.9401521435518	0.428345110104687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV8	0.00105365047597391	1.58946674028334	0.0028443788731835	4.79678883632651	6.90497282765352	0.0186078781278859	0	0.0656986484420335	0.00317676024194009	3.55585180858095	3.00637950934533	0.0569548332393259	0	2.09925184618601	13.704085956823	0	1.5628192852348	36.3063689004245	2.43268127969057	1.14243520927491	0	0	0.224020253572583	0.780248932120804	0.280317974797301	0	0	0	0	0	0	0	0	21.6260167009735	5.7600463580403	0	0	0.966630948724046	0	0	31.1029624506926	0	0	0	0	0	1.55640590355883	0	0	0	0	9.7935336	0	0	0	0	0	0	0	0	0	0
HPV-mSK_147	0.000400279558045232	3.28464628348789	1.92555766683235	0.00163416132991374	0	0.936468496758008	0	0	5.80495405214402	0	0.0616318230569866	0	0	0	0	0	0	0	0	0	0.0285507142561292	0.497308863670925	0	0.0079887973178528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV-mdo1c232	0.0106571091769908	0.492183174359014	0	0.079072391964378	0	0	0	0.0134569913033766	0	0.00270532897730552	0.661439664904872	0	0	0	0	1.28496332496205	0	0.0498995105609313	0	0	0	0	0.201054732487087	0.18643588880641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32941912107647	1.05259928768285	0	0	0.160567445769886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV115	0	0	0	1.04221911104839	0.0022162069267594	0	0	0.313134812049061	0.00219242143565071	0.00260561451170645	0.038561382703272	0	0	0.0690278756046493	2.09124595923029	0	0.0364970519708079	0	0	0	1.20301897962038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138627479193796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24825309	0	0	0	0	0	0	0	0	0	0
HPV80	0.749339929871766	0	0	0.00145743576595998	0.054302350455556	0	0	0	0.271062172993962	0	4.4222140546296	0	0	0	0	0.263849693306558	0	0	0	0.0073892924292282	0	14.4204456281834	0	0.00103758086407479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51012155512988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPV20	0.0152380380423864	1.48319192600296	0	2.80867730150259	0.60640991150844	0	0	0	0.594536433773678	0.00773212481092016	0.595331840420134	0	0	0.854170283813333	0.00122921594326081	0	81.4060646231371	2.33386903496889	0	0	0	0	0.000904850075024126	0.0466205643327982	0	0	0	0	0	0	0.413013541051264	0	10.4275482954785	0	0	0	0.84123212437834	0	0	0	0	0	0	0	0	0	0.349286667464981	0	0	0	0	2.8497303	0	0	0	0	0	0	0	0	0	0
