Anelloviridae sp.	BKPyV	HHV-4	HHV-5	HPV-mCG2	HPV-mCGG5	HPV-mCH2	HPV-mdo1c232	HPV-mDysk5	HPV-mDysk6	HPV-mEV03c45	HPV-mEV06c107	HPV-mFD2_t1	HPV-mFi864	HPV-mga2c01	HPV-mga2c70	HPV-mKC5	HPV-mL55	HPV-mm090c09	HPV-mm090c10	HPV-mSD2	HPV-mSK_001	HPV-mSK_002	HPV-mSK_004	HPV-mSK_005	HPV-mSK_006	HPV-mSK_007	HPV-mSK_008	HPV-mSK_009	HPV-mSK_010	HPV-mSK_011	HPV-mSK_012	HPV-mSK_013	HPV-mSK_014	HPV-mSK_015	HPV-mSK_017	HPV-mSK_019	HPV-mSK_022	HPV-mSK_023	HPV-mSK_024	HPV-mSK_025	HPV-mSK_026	HPV-mSK_027	HPV-mSK_028	HPV-mSK_029	HPV-mSK_030	HPV-mSK_031	HPV-mSK_032	HPV-mSK_033	HPV-mSK_034	HPV-mSK_035	HPV-mSK_036	HPV-mSK_037	HPV-mSK_038	HPV-mSK_039	HPV-mSK_040	HPV-mSK_041	HPV-mSK_042	HPV-mSK_043	HPV-mSK_044	HPV-mSK_045	HPV-mSK_046	HPV-mSK_047	HPV-mSK_048	HPV-mSK_049	HPV-mSK_050	HPV-mSK_051	HPV-mSK_052	HPV-mSK_053	HPV-mSK_054	HPV-mSK_055	HPV-mSK_056	HPV-mSK_056_t1	HPV-mSK_056_t2	HPV-mSK_057	HPV-mSK_059	HPV-mSK_061	HPV-mSK_063	HPV-mSK_064	HPV-mSK_065	HPV-mSK_067	HPV-mSK_070	HPV-mSK_071	HPV-mSK_073	HPV-mSK_074	HPV-mSK_075	HPV-mSK_076	HPV-mSK_078	HPV-mSK_079	HPV-mSK_080	HPV-mSK_081	HPV-mSK_082	HPV-mSK_083	HPV-mSK_084	HPV-mSK_085	HPV-mSK_086	HPV-mSK_087	HPV-mSK_089	HPV-mSK_090	HPV-mSK_091	HPV-mSK_092	HPV-mSK_093	HPV-mSK_094	HPV-mSK_095	HPV-mSK_096	HPV-mSK_097	HPV-mSK_098	HPV-mSK_099	HPV-mSK_100	HPV-mSK_101	HPV-mSK_102	HPV-mSK_103	HPV-mSK_104	HPV-mSK_106	HPV-mSK_107	HPV-mSK_108	HPV-mSK_109	HPV-mSK_110	HPV-mSK_111	HPV-mSK_112	HPV-mSK_113	HPV-mSK_116	HPV-mSK_117	HPV-mSK_118	HPV-mSK_119	HPV-mSK_121	HPV-mSK_122	HPV-mSK_123	HPV-mSK_124	HPV-mSK_125	HPV-mSK_126	HPV-mSK_126_t1	HPV-mSK_127	HPV-mSK_128	HPV-mSK_129	HPV-mSK_130	HPV-mSK_131	HPV-mSK_132	HPV-mSK_133	HPV-mSK_134	HPV-mSK_137	HPV-mSK_138	HPV-mSK_139	HPV-mSK_140	HPV-mSK_141	HPV-mSK_141_t1	HPV-mSK_142	HPV-mSK_144	HPV-mSK_145	HPV-mSK_146	HPV-mSK_147	HPV-mSK_148	HPV-mSK_149	HPV-mSK_150	HPV-mSK_152	HPV-mSK_153	HPV-mSK_155	HPV-mSK_156	HPV-mSK_157	HPV-mSK_158	HPV-mSK_160	HPV-mSK_161	HPV-mSK_162	HPV-mSK_164	HPV-mSK_165	HPV-mSK_166	HPV-mSK_167	HPV-mSK_168	HPV-mSK_169	HPV-mSK_170	HPV-mSK_171	HPV-mSK_172	HPV-mSK_173	HPV-mSK_174	HPV-mSK_176	HPV-mSK_178	HPV-mSK_180	HPV-mSK_181	HPV-mSK_182	HPV-mSK_183	HPV-mSK_184	HPV-mSK_185	HPV-mSK_186	HPV-mSK_187	HPV-mSK_189	HPV-mSK_190	HPV-mSK_191	HPV-mSK_192	HPV-mSK_194	HPV-mSK_194_t1	HPV-mSK_195	HPV-mSK_196	HPV-mSK_197	HPV-mSK_198	HPV-mSK_199	HPV-mSK_202	HPV-mSK_204	HPV-mSK_205	HPV-mSK_206	HPV-mSK_207	HPV-mSK_209	HPV-mSK_210	HPV-mSK_211	HPV-mSK_212	HPV-mSK_213	HPV-mSK_214	HPV-mSK_216	HPV-mSK_217	HPV-mSK_218	HPV-mSK_219	HPV-mSK_220	HPV-mSK_221	HPV-mSK_222	HPV-mSK_223	HPV-mSK_224	HPV-mSK_225	HPV-mSK_227	HPV-mSK_228	HPV-mSK_229	HPV-mSK_231	HPV-mSK_232	HPV-mSK_234	HPV-mSK_235	HPV-mSK_236	HPV-mSK_237	HPV-mSK_237_t1	HPV-mSK_238	HPV-mSK_239	HPV-mSK_240	HPV-mSK_241	HPV-mSK_242	HPV-mSK_244	HPV-mSK_245	HPV-mSK_245_t1	HPV-mSK_246	HPV-mSK_246_t1	HPV-mSK_248	HPV-mSK_249	HPV-mSK_250	HPV-mSK120	HPV-mTG550	HPV-mTVMBSHc33	HPV-mw11c13	HPV-mw18c07	HPV-mw18c25	HPV-mw18c39	HPV-mw20c08a	HPV-mw20c09	HPV-mw20c10a	HPV-mw21c693	HPV-mw22c09	HPV-mw23c77	HPV-mw27c04c	HPV-mw34c04a	HPV-mw34c11a	HPV-mw34c14a	HPV-mwg1c09	HPV-w23c08c	HPV1	HPV10	HPV100	HPV104	HPV105	HPV107	HPV109	HPV11	HPV110	HPV111	HPV112	HPV112_t1	HPV113	HPV114	HPV115	HPV116_t1	HPV118	HPV119	HPV119_t1	HPV12	HPV120	HPV122	HPV123	HPV124	HPV127	HPV128	HPV128_t1	HPV129	HPV130	HPV130_t1	HPV132	HPV133	HPV134	HPV135	HPV135_t1	HPV136	HPV137	HPV138	HPV139	HPV14	HPV140	HPV141	HPV142	HPV142_t1	HPV143	HPV144	HPV145	HPV146	HPV147	HPV148	HPV148_t1	HPV149	HPV15	HPV150	HPV151	HPV152	HPV153	HPV153_t1	HPV155	HPV156	HPV157	HPV159	HPV16	HPV161	HPV163	HPV164	HPV165	HPV165_t1	HPV166_t1	HPV167	HPV168	HPV169	HPV169_t1	HPV17	HPV172	HPV173	HPV174	HPV175	HPV179	HPV181	HPV184	HPV19	HPV190	HPV192	HPV194	HPV195	HPV196	HPV197	HPV199	HPV2	HPV20	HPV200	HPV201	HPV202	HPV204	HPV205	HPV208	HPV209	HPV21	HPV22	HPV221_t1	HPV223	HPV227	HPV229	HPV23	HPV24	HPV25	HPV27	HPV28	HPV3	HPV32	HPV36	HPV37	HPV38	HPV4	HPV41	HPV42	HPV47	HPV49	HPV5	HPV50	HPV50_t1	HPV57	HPV62	HPV63	HPV65	HPV75	HPV76	HPV78	HPV8	HPV80	HPV80_t1	HPV81	HPV86	HPV88	HPV89	HPV9	HPV90	HPV91	HPV92	HPV93	HPV94	HPV95_t1	HPV96	HPV98	HPV99	HPyV6	HPyV7	HPyV9	HSV1	HSV6B	JCPyV	KIPyV	MCPyV	MCV-1	MWPyV	STLPyV	Torque teno mini virus	Torque teno virus	Torque teno virus 12	TSPyV	cls
Pt01_Post-Tx-offIS-24M	0	0	0	0	0	0	0	0	0	0	0	4.5504265	0	0	3.3106673	0	0	0	0	6.2135453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9110104	0	0	0	0	0	0	0	0	0	0	4.099591	2.5289693	0	13.895464	4.388602	0	0	5.835934	0	0	2.1994948	0	2.2181895	0	0	0	28.86197	20.282572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1966457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9396684	2.0203648	0	0	0	0	2.9961815	0	0	0	0	0	2.734618	0	0	0	2.0027056	0	0	0	0	0	0	0	0	0	0	21.465664	0	0	0	0	0	0	0	0	46.70416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.462194	0	0	5.428511	0	0	0	0	61.32477	0	0	0	0	0	0	466.28442	7.9085293	0	0	0	2.9539354	0	0	0	0	2.5743973	0	0	0	0	0	0	0	0	0	0	0	5.0572248	0	0	0	0	3.888245	0	0	0	34.781773	0	2.425052	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8433554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.662952	0	0	0	0	0	15.160809	0
Pt01_Pre-Tx	0	0	0	0	0	0	10186.611	164.06487	0	0	0	1188.6364	0	0	0	0	0	27.437233	0	4.9031663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.88757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.539545	0	0	0	0	0	0	0	0	2.1670878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5736737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.162254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.262194	49.1897	49.12642	63.179165	54715.63	678.69794	3811.356	264.42218	262207.06	28636.238	1200.2037	57818.258	34423.41	0	204327.3	31048.516	129.21573	37.867153	18272.895	34.28413	45780	204231.08	125096.91	10061.541	13.497953	120.09805	4100.1123	25.901857	835.19196	0	0	0	0	0	0	0	0	0	0	114211.625	0	128.91042	0	0	0	0	0	0	701.4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5590696	0	0	0	0	7927.5195	102472.89	0	1.5871716	0	0	53.488476	0	0	0	31.311129	0	82290.15853	0	0	0	0	9844.394	0	0	0	0	0	0	0	0	0	15.760758	5.5492525	0	0	22.112549	0	0	0	0	1187.627	0	0	51.219616	0	0	0	1.523504	0	2.6049125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.63473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237.14157	5578.127	0	0	60363.11	1177.9275	0	527.86975	0	0	0	15.906922	6662.185	26.46476	0	25.159555	0	0	0	733.2162	234.5877	0	0	0	4214.765	0	0	0	2.8151646	201.42616	0	0	0	0	5.79356	197.40002	0	4.87762	0	27.837608	0	0	7.2564983	15087.666	0	0	0	0	0	0	581.4033	0	0	0	0	0	0	1851.525	0	16.220818	11535.995	0	0	4.747989	0	0	11157.259	0	0	0	0	0	0	34.115963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.37226	1
Pt11_Post-Tx-offIS-24M	0	0	0	0	0	0	0	3.3162358	0	0	0	0	0	0	0	0	0	0	0	0	2.9886713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5659933	0	0	0	0	0	0	13.928671	0	0	0	4.336857	10.989688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7638304	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3045187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0588236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3443656	0	0	0	0	0	0	0	0	0	0	0	0	5.2910647	5.7183957	5.2902083	4.8020935	6.505233	0	0	0	0	14.312595	0	0	0	9.265758	0	0	0	0	0	0	0	0	0	6.2955947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1876745	0	0	7.39211	0	3.5722528	0	0	0	3.4113793	0	0	0	0	0	7.478417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2496614	0	0	0	13.705253	0	0	3.5013819	5.36514	0	0	0	0	0	0	0	0	0	43.943134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4664528	0	0	0	4.685586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0231605	0	0	0	0	0	0	0	4.563359	0	0	0	0	8.721289	0	0	0	0	0	0	0	0	0	0	7.7263293	7.2138966	0	0	0	0	0	0	7.9387755	0	4.388473	0	0	0	0	620.99817	0	0	0	56.92368	0	0	0	29.77266	0	0	0	0	0	44.52834	28.254177	0	0	0	0	0	0	0	0	0	32.1448034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.666994	0	0	2.4687262	0	0	0	0	0	0	977.95276	0
Pt11_Pre-Tx	0	0	0	0	0	0	0	21445.268	0	1069.5219	0	0	0	0	0	7032.8374	114.16304	0	0	85.22661	5039.896	0	0	452.23727	5581.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441933.84	9437.543	227.13338	4871.819	14018.779	53282.22	670.6044	2296.7515	4.2667503	148537.28	0	11668.325	37539.016	0	1995.7836	0	0	0	0	0	0	0	0	0	10.753151	0	0	0	0	0	0	0	0	0	0	87574.22	24437.184	0	0	0	47.69318	0	0	0	0	0	0	0	0	0	1618.5562	0	0	0	0	0	0	0	0	0	0	0	0	0	3654.1099	0	0	0	0	0	11105.417	0	0	0	0	0	0	0	0	61070.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4054.332	0	0	0	1479.1256	0	0	0	0	0	1998.2336	63.916073	0	0	0	79351.68	0	0	0	0	0	14799.433	0	104057.984	0	0	0	0	19146.855	92281.17	37134.867	14130.206	144057.98	0	0	0	0	248231.48	1357.1992	0	0	31623.717	27244.787	1572.7676	0	743.6952	0	0	150.3592	406.7306	0	304.40433	14.516416	0	0	0	553.10126	0	4836.84	97.57904	0	40.444195	0	10702.76656	0	0	0	0	2260.8477	0	0	0	0	6310.001	0	0	42495.174	3.4837177	29396.576	0	1540.7874	2.7910764	358.644	0	732.4498	0	67425.77	0	36884.03	0	0	0	0	0	0	0	30311.361	0	0	0	105.66327	0	0	2032.2946	0	412.26974	52958.297	0	0	0	0	0	0	0	18870.664	0	1279.3379	2709.3213	0	80.59454	3486.1191	0	2915.7952	0	172680.4	0	6516.563	22713.67	45690.125	0	0	0	1250.2413	0	0	5.394733	0	1063.6075	28262.947	13.564229	17.603287	0	0	0	19774.234	1104.5475	2218.4604	0	0	0	0	0	0	6957.627	0	718.108	0	121348.5796	0	1398.8375	0	0	0	5322.8164	0	0	77654.25	0	0	0	3368.3892	0	0	0	0	0	0	0	0	0	0	0	0	25057.08	46513.266	0	0	0	0	552.0305	0	10047.099	0	10504.453	0	0	217.2263	0	0	0	0	0	0	83.784676	0	0	0	0	19301.913	13458.1425	0	0	0	0	739.1788	687.00085	0	21027.133	0	0	0	2458.9624	1811.0298	29578.676755	149.35191	0	27425.717	1363.3483	0	0	380.36722	111.09945	0	0	0	0	4253.197	330.4364	1358.6959	0	0	0	0	0	0	112.39046	0	97473.16	143377.5	205.52826	0	0	0	0	0	0	0	0	0	152.7683	0	0	163984.36	0	10.320143	0	0	5.2830763	6.5421453	0	0	0	578.314144	212.89555	771.82806	0	0	0	0	1
Pt02_Post-Tx-offIS-24M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.602518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.492855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5212693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0336983	0	0	0	0	5.16109	0	0	0	0	0	0	0	3.0198305	0	0	0	0	0	0	0	103.667496	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6823938	0	0	0	0	0	24.080873	0	0	0	0	0	0	0	2.559624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3627684	0	0	0	0	0	0	0	0	0	0	0	2.053779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7621315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4992807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.343842	0	0	0	0	0	0	0	0	0	0	2.1069896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0894926	0	0	0	0	0	0	0	0	0	0	13.326162	6.74567	0	0	0	0	0	0	0	0	0	5.1785293	0	0	0	0	0	0	0	0	0	7.7143803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1282816	0	0	0	7.0452748	0	0	0	0	0	562.9248	0
Pt02_Pre-Tx	0	0	0	0	0	0	0	10974.9375	0	38.70979	0	0	0	0	0	0	0	0	0	0	5125.716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.997925	0	2778.2761	0	15.415913	21.041437	0	0	46917.73	33883.01	2385.3774	7584.7466	22712.285	406.30035	5985.307	2.6801035	0	0	0	0	2497.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9568124	0	0	0	0	31900.01	0	0	0	0	0	0	0	0	0	11.721265	0	7453.7695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.08098	0	0	0	0	131.63794	0	0	0	638.5624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215.82553	0	0	0	0	0	0	0	73242.625	0	0	0	0	2.363649	0	0	358.46854	0	0	3343.7046	0	15574.563	0	0	0	0	6.344508	4.2225056	15.761514	2.636158	4.470681	0	0	0	0	5.4791927	313720.78	0	0	20120.95	0	2116.6252	0	580.4118	2.605042	0	193971.7	0	2.853206	6085.1733	0	0	0	0	0	0	0	87.676155	0	0	0	218351	0	0	0	0	903.92126	0	0	0	0	34.306458	0	0	5.5740557	37.09406	316.1023	0	868.7936	0	0	11.351394	883.9203	0	237.70378	0	3.8581672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906982.2	47881.3	0	0	0	5.7850075	0	0	0	0	0	0	0	0	0	0	0	244.30664	0	0	0	0	0	114161.21	0	0	0	0	0	0	3516.7087	0	377.00378	637.58826	959.66296	3291.2974	1.5736476	0	0	0	0	473.3707	0	0	0	0	0	0	0	0	201.08104	0	30.245249	0	60.353382	75.127075	0	0	0	0	3.238229	25.30096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955.93915	0	0	0	0	0	0	0	1229.5304	0	0	0	8.627558	9441.467	0	0	0	0	0	0	32.230305	0	0	0	0	33072.928	0	364.66388	0	0	0	26.987103	84.15417	0	5.5354667	0	0	0	0	0	0	301.3448	0	0	0	0	6410.8663	70.36652	3391.6199	0	0	0	0	0	24979.059	0	0	0	0	0	0	0	67.3241	0	35442.695	0	1164.1708	0	0	0	0	0	0	0	0	0	0	0	0	912.6153	0	0	0	0	0	0	0	0	0	97.287556	31.794765	19.86122	0	0	0	51.904385	1
Pt09_Post-Tx-offIS-24M	0	0	0	0	0	0	0	0	0	0	6.779938	0	0	0	0	0	0	0	0	5.215107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.07597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.336414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7391715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291.3995	0	0	0	0	0	0	0	0	0	0	0	0	6.2285795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3624	0	0	0	0	0	0	0	38.74073	16.117228	0	0	0	0	0	0	0	146.17268	5.143274	0	0	2.1400316	2.2515519	0	0	0	0	0	0	0	0	0	0	0	49.938572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45009	0	0	0	0	0	0	0
Pt09_Pre-Tx	0	6.595672	0	0	0	0	0	0	0	0	0	0	0	0	0	4536.3315	0	0	0	1578.3593	34.525593	90.42513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.78117	0	0	0	0	0	0	0	0	0	0	2671.2122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.20715	0	0	2.078529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7448206	0	3.2544487	0	0	0	0	268.45877	0	0	0	0	1104.6385	0	0	0	0	0	0	0	11467.38	0	0	0	0	17722.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.099248	0	1788.6561	0	0	0	0	0	0	103.053825	0	0	0	20.831287	0	0	0	0	0	0	0	0	0	0	0	0	0	4474.988	5.629091	1386.1229	7.3022637	10.408684	0	3.4765713	16.685814	0	0	15.20373	8828.242	0	0	13116.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.462992	0	13.657716	0	0	0	0	1.8000281	0	0	50199.12	0	0	1311.0942	98.8697	0	0	47.757416	0	0	4571.637	0	66.72272	0	0	0	179.47485	0	0	0	0	4.3310127	0	0	0	0	291.63544	2617.3457	0	0	88.25344	0	0	0	23365.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2760.3567	230.36414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.029291	0	0	0	0	0	0	2.4117646	469.77625	0	0	0	306.5663	0	0	0	0	0	0	190.29356	0	0	0	0	1174.47531	1918.9584	12278.023	0	0	0	1813.7452	0	0	0	0	0	0	0	6648.117	598.5845	0	0	0	1.4607371	0	157.06857	0	2752.5457	0	0	0	0	690.6973	0	0	0	0	0	30.893248	0	0	0	0	6.275522	535.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7870.8906	4435.34556	249.9319	0	0	0	0	1
Pt05_Post-Tx-offIS-12M	0	0	0	0	0	0	0	0	0	0	7.3210764	0	0	0	0	0	0	0	0	0	0	0	0	6.188137	8.569343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.54696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.36457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328.56442	0	0	0	0	0	0	0	0	0	3.764045	0	0	0	0	0	2.9741476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.403346	11.919681	4.516382	15.611364	0	3.7089584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204.6678	0	0	0	0	0	0	0	0	0	0	0	2.2127771	0	0	0	0	0	0	51.656334	0	0	0	0	0	8.2600355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.981811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.9203	0	0	0	0	0	0	0	0	0	31.017235	0	0	3.5676868	0	0	6.9668903	0	0	4.59375	12.952198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2589.36505	0	0	0	0	0	3.361867	0
Pt05_Post-Tx-offIS-24M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.85732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.980177	0	0	0	0	0	0	0	0	22.64619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8391275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430.40118	0	74.071594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.132746	0	0	0	0	0	0	0	0	0	261.91729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2519423	0	0	0	0	0	0	0
