site_specific	day	subject_id	new_taxa	abu_new
Ra	Day 0	subject 5	Actinobacteria	0.536244243148106
Ra	Day 0	subject 5	Alphaproteobacteria	0.0322456386017362
Ra	Day 0	subject 5	Bacteria	0.00836303113848184
Ra	Day 0	subject 5	Corynebacterium tuberculostearicum	0.014029638853693
Ra	Day 0	subject 5	Cutibacterium acnes	0.0315721384115572
Ra	Day 0	subject 5	Eukaryotic virus	4.84532510920153e-06
Ra	Day 0	subject 5	Firmicutes	0.0242193575583438
Ra	Day 0	subject 5	Fungi	0.178821568480192
Ra	Day 0	subject 5	Gammaproteobacteria	0.0167236396144091
Ra	Day 0	subject 5	Malassezia globosa	0.000176854366485856
Ra	Day 0	subject 5	Malassezia restricta	0.0685322783445464
Ra	Day 0	subject 5	Micrococcus luteus	0.000307678144434297
Ra	Day 0	subject 5	Proteobacteria	0.0183831634643106
Ra	Day 0	subject 5	Staphylococcus aureus	0.00763380970954701
Ra	Day 0	subject 5	Staphylococcus epidermidis	0.0622309330400298
Ra	Day 0	subject 5	Staphylococcus hominis	0.000511181799020761
Ra	Day 0	subject 6	Actinobacteria	0.0687813599144446
Ra	Day 0	subject 6	Alphaproteobacteria	0.000248083145053747
Ra	Day 0	subject 6	Bacteria	0.000373972407340207
Ra	Day 0	subject 6	Corynebacterium tuberculostearicum	0.000118498503248116
Ra	Day 0	subject 6	Cutibacterium acnes	0.667679939730824
Ra	Day 0	subject 6	Eukaryotic virus	2.36504289227008e-05
Ra	Day 0	subject 6	Firmicutes	0.0119897820292709
Ra	Day 0	subject 6	Fungi	0.00334234759577377
Ra	Day 0	subject 6	Gammaproteobacteria	0.00308022200854717
Ra	Day 0	subject 6	Malassezia globosa	0.00679752744619959
Ra	Day 0	subject 6	Malassezia restricta	0.190330768493589
Ra	Day 0	subject 6	Micrococcus luteus	0.000316817204110346
Ra	Day 0	subject 6	Proteobacteria	0.000338004046686932
Ra	Day 0	subject 6	Staphylococcus aureus	0.000676254452008476
Ra	Day 0	subject 6	Staphylococcus epidermidis	0.0457633336067914
Ra	Day 0	subject 6	Staphylococcus hominis	0.00013943898719009
Ra	Day 0	subject 7	Actinobacteria	0.564150532306692
Ra	Day 0	subject 7	Alphaproteobacteria	0.000273729287817222
Ra	Day 0	subject 7	Bacteria	0.00238061532131947
Ra	Day 0	subject 7	Corynebacterium tuberculostearicum	0.00177841088812159
Ra	Day 0	subject 7	Cutibacterium acnes	0.0357208425774571
Ra	Day 0	subject 7	Eukaryotic virus	4.20271229779977e-05
Ra	Day 0	subject 7	Firmicutes	0.00937370738947419
Ra	Day 0	subject 7	Fungi	0.00343516431499107
Ra	Day 0	subject 7	Gammaproteobacteria	0.00273286897049032
Ra	Day 0	subject 7	Malassezia globosa	0.03026339946338
Ra	Day 0	subject 7	Malassezia restricta	0.122130266385601
Ra	Day 0	subject 7	Micrococcus luteus	0.000368290314517716
Ra	Day 0	subject 7	Proteobacteria	0.00040589352981382
Ra	Day 0	subject 7	Staphylococcus aureus	0.000540822714111601
Ra	Day 0	subject 7	Staphylococcus epidermidis	0.225952743818142
Ra	Day 0	subject 7	Staphylococcus hominis	0.000450685595093001
Ra	Day 0	subject 8	Actinobacteria	0.0295104923907
Ra	Day 0	subject 8	Alphaproteobacteria	0.000712036029896776
Ra	Day 0	subject 8	Bacteria	0.013205428947104
Ra	Day 0	subject 8	Corynebacterium tuberculostearicum	0.00591095992566368
Ra	Day 0	subject 8	Cutibacterium acnes	0.704946247832221
Ra	Day 0	subject 8	Eukaryotic virus	1.2480912005202e-06
Ra	Day 0	subject 8	Firmicutes	0.0267665638863563
Ra	Day 0	subject 8	Fungi	0.0200867797811722
