Coverage	Breadth	mean_scaled_eucli_new	mean_jaccard_new
1	2	35	0.0256169929395254	0.998257467525509
2	2	45	0.023091558128488	0.999661357736783
3	2	55	0.0222177273377085	1
4	2	65	0.0265748430680781	0.999388080668706
5	2	75	0.03	0.996021029912955
6	2	85	0.031	0.99
7	4	35	0.0289695023892625	0.993983085124546
8	4	45	0.0280045524193063	0.995477732263649
9	4	55	0.0235142673886243	0.999618140465156
10	4	65	0.0225613905284949	1
11	4	75	0.0225613905284949	1
12	4	85	0.0225613905284949	1
13	6	35	0.0265983963573137	0.99259423279544
14	6	45	0.0246483654217931	0.995656499923227
15	6	55	0.0216891756703449	0.99877222740738
16	6	65	0.0208311570528576	0.999610337664242
17	6	75	0.0199861196157513	1
18	6	85	0.0199861196157513	1
19	8	35	0.0261853691243594	0.992554262953168
20	8	45	0.0254333957533885	0.994227079796033
21	8	55	0.0237901439496219	0.996763410685509
22	8	65	0.0202714425713442	0.999738199298055
23	8	75	0.0197477516431861	1
24	8	85	0.0197477516431861	1
25	10	35	0.0269184620331685	0.992666304190948
26	10	45	0.0266027024303173	0.9932663853086
27	10	55	0.0250739530457621	0.996031468660585
28	10	65	0.0211108681132644	0.999553342435854
29	10	75	0.0202767160733237	1
30	10	85	0.0202767160733237	1
31	50	35	0.0261731110474247	0.992816256238967
32	50	45	0.0261731110474247	0.992816256238967
33	50	55	0.0253844165518708	0.994123508572813
34	50	65	0.0216289474887822	0.998512979118948
35	50	75	0.0203570236180119	0.999523735676265
36	50	85	0.0193754807450383	1
37	100	35	0.0282148434425544	0.992097522268644
38	100	45	0.0282148434425544	0.992097522268644
39	100	55	0.0273073096325605	0.993316824932499
40	100	65	0.0229894147294265	0.99867799078534
41	100	75	0.0216115816744963	0.999714456357644
42	100	85	0.0209729552091006	1
43	300	35	0.0274380806058635	0.992252298791378
44	300	45	0.0274199217146378	0.99259379538528
45	300	55	0.0266997296417775	0.993557541673571
46	300	65	0.023429994695417	0.997847921267382
47	300	75	0.0212770055155628	0.999564930331739
48	300	85	0.0203465608587462	1
