Sample	Standard+DOCK8+	Standard+DOCK8	Standard+SMGC	Standard	site_specific	Group
MET0207	50.9	50.9	49.26	52.77	Hp	HVs
MET0208	90.73	90.73	89.71	91.02	Ac	HVs
MET0209	71.96	71.97	70.75	72.88	Vf	HVs
MET0211	25.3	25.3	19.09	29.73	Ra	HVs
MET0212	15.78	15.79	15.37	17.11	Mb	HVs
MET0213	7.43	9.33	9.5	50.52	Ic	HVs
MET0214	17.62	17.62	16.91	19.69	Ph	HVs
MET0217	41.04	41.05	36.99	50.66	Pc	HVs
MET0224	18.93	18.95	12.79	22.62	Hp	HVs
MET0225	18.89	18.93	12.59	22.8	Ac	HVs
MET0226	17.15	17.17	11.7	20.84	Vf	HVs
MET0228	1.64	1.64	1.05	1.98	Ra	HVs
MET0229	9.19	9.2	6.17	10.25	Mb	HVs
MET0230	10.12	10.34	5.49	14.45	Ic	HVs
MET0231	28.29	30.4	27.36	33.04	Ph	HVs
MET0234	34.33	34.38	25.63	40.8	Pc	HVs
MET0241	18.48	19.83	12.95	26.73	Hp	HVs
MET0243	14.09	16.94	14.06	36.27	Vf	HVs
MET0245	2.12	3.02	1.86	8.98	Ra	HVs
MET0246	1.03	1.23	1.04	4.32	Mb	HVs
MET0247	15.44	21.13	13.27	50.86	Ic	HVs
MET0248	63.46	63.8	61.84	66.74	Ph	HVs
MET0251	38.46	39.12	28.21	50.36	Pc	HVs
MET0304	31.13	31.15	29.91	33.72	Ac	HVs
MET0310	26.45	26.46	23.14	29.03	Hp	HVs
MET0311	5.33	5.4	5.13	8.05	Ic	HVs
MET0313	6.9	6.91	7.09	8.31	Mb	HVs
MET0315	38.4	38.43	34.96	42.45	Pc	HVs
MET0316	65.54	65.55	64.12	66.17	Ph	HVs
MET0317	5.79	5.83	6.69	12.95	Ra	HVs
MET0320	35.45	35.46	33.89	37.66	Vf	HVs
MET0553	15.35	15.36	14.39	15.73	Ra	HVs
MET0556	25.39	27.56	17.43	32.1	Ic	HVs
MET0561	17.38	17.41	10	19.44	Mb	HVs
MET0567	50.4	52.83	47.34	55.33	Ph	HVs
MET0629	3.31	11.34	3.1	17.65	Ra	HVs
MET0631	41.9	44.05	34.56	52.66	Pc	HVs
MET0632	29.94	35.59	24.71	48.64	Ic	HVs
MET0633	12.93	27.45	12.04	45.66	Ac	HVs
MET0634	18.65	28.48	17.92	44.83	Vf	HVs
MET0637	1.64	2.83	1.49	5.93	Mb	HVs
MET0639	27.34	35.41	26.79	44.84	Hp	HVs
MET0643	61.45	61.85	58.08	63.57	Ph	HVs
MET0705	22.45	22.45	20.42	24.72	Ra	HVs
MET0707	69.46	69.46	67.28	71.1	Pc	HVs
MET0708	7.81	10.62	10.35	74.09	Ic	HVs
MET0709	52.77	52.79	50.51	54.89	Ac	HVs
MET0710	50.44	50.44	47.72	52.01	Vf	HVs
MET0713	8.96	8.97	8.56	9.48	Mb	HVs
MET0715	28.05	28.06	27.15	30.4	Hp	HVs
MET0719	19.23	19.23	12.49	22.18	Ph	HVs
MET0743	15.39	15.42	14.46	18.85	Ra	HVs
MET0745	37.48	37.5	34.71	42.19	Pc	HVs
MET0746	5.82	5.96	5.59	9.72	Ic	HVs
MET0747	61.6	61.61	60.83	63.27	Ac	HVs
MET0748	39.33	39.34	38.33	40.92	Vf	HVs
MET0751	9.19	9.24	9.15	10.8	Mb	HVs
MET0753	17.63	17.64	17.66	20.5	Hp	HVs
MET0757	26.36	26.36	24.31	27.31	Ph	HVs
MET0788	46.51	46.63	41.4	49.98	Pc	HVs
MET0789	17.89	17.9	9.49	20.65	Ac	HVs
MET0790	13.29	13.3	7.96	14.8	Vf	HVs
MET0792	39.21	39.23	33.51	40.49	Hp	HVs
MET0936	32.62	32.63	29.96	35.23	Ac	HVs
MET0942	28.19	28.19	28.28	33.78	Ic	HVs
MET0943	33.56	33.57	30.13	38.36	Mb	HVs
MET0945	58.29	58.3	57.32	60.78	Pc	HVs
MET0946	25.18	25.21	26.34	31.55	Ra	HVs
MET0947	34.4	34.41	34.07	38.64	Vf	HVs
MET1020	69.93	69.96	68.9	71.7	Ac	HVs
MET1026	13.13	13.13	12.35	18.04	Ic	HVs
MET1027	73.69	73.74	73.28	75.6	Mb	HVs
MET1029	76.15	76.16	75.61	77.32	Pc	HVs
MET1030	65.06	65.21	64.89	69.07	Ra	HVs
MET1031	71.66	71.68	71.34	72.91	Vf	HVs
MET1074	40.19	40.24	41.76	71.28	Ic	Pre-Tx
MET1075	39.16	39.25	43.94	69.79	Pc	Pre-Tx
MET1077	2.61	3.72	8.2	20.8	Ra	Pre-Tx
MET1078	28.04	28.17	30.01	39.06	Vf	Pre-Tx
MET1079	14.18	14.6	13.72	32.55	Ic	Pre-Tx
MET1080	6.26	6.37	8.64	18.84	Pc	Pre-Tx
MET1082	11.89	12.09	24.51	45.33	Ra	Pre-Tx
MET1083	7.66	7.84	9.54	52.9	Vf	Pre-Tx
MET1084	0.67	0.74	25.6	92.11	Ic	Pre-Tx
MET1085	0.81	4.88	24.85	74.82	Pc	Pre-Tx
MET1087	3.07	5.4	19.72	79.75	Ra	Pre-Tx
MET1088	0.73	3.18	22.74	91.59	Vf	Pre-Tx
MET1715	21.76	21.83	23.49	65.72	Ac	Pre-Tx
MET1719	10.26	11.33	11.88	13.81	Hp	Pre-Tx
MET1721	18.28	20.94	25.37	34.31	Mb	Pre-Tx
MET1724	42.26	42.27	42.45	44	Ph	Pre-Tx
MET1727	5.75	5.91	7.88	37.18	Ac	Pre-Tx
MET1731	8.23	8.43	8.04	19.13	Hp	Pre-Tx
MET1733	15.21	15.38	21.94	32.19	Mb	Pre-Tx
MET1736	27	27	33.11	43.58	Ph	Pre-Tx
MET1739	1.09	1.34	39.98	97.82	Ac	Pre-Tx
MET1743	2.62	2.93	15	40.21	Hp	Pre-Tx
MET1745	0.99	1.56	19.51	95.61	Mb	Pre-Tx
MET1749	16.4	17.34	31.5	54.65	Ph	Pre-Tx
MET1790	14.67	14.83	52.76	88.39	Ac	Pre-Tx
MET1791	5.02	5.1	23.83	90.06	Pc	Pre-Tx
MET1792	2.95	3.12	36.53	81.21	Ra	Pre-Tx
MET1793	6.71	6.96	15.03	88.17	Vf	Pre-Tx
MET1794	5.18	5.22	18.37	85.78	Ac	Pre-Tx
MET1795	2.34	2.41	13.78	96.23	Pc	Pre-Tx
MET1796	13.73	14.87	55.4	86.85	Ra	Pre-Tx
MET1797	4.78	4.87	17.83	85.73	Vf	Pre-Tx
MET1804	3.1	3.15	50.97	89.06	Ac	Pre-Tx
MET1805	17.95	18.05	26.14	51.21	Hp	Pre-Tx
MET1806	3.01	3.06	10.73	93.87	Ic	Pre-Tx
MET1807	2.62	2.75	26.99	81.77	Mb	Pre-Tx
MET1808	11.15	11.27	33.29	77.55	Pc	Pre-Tx
MET1809	43.09	43.14	45.04	55.77	Ph	Pre-Tx
MET1810	12.66	12.79	56.32	72.94	Ra	Pre-Tx
