subject_id	kingdom	Group	mean_abu_norm_bs
Hv04	Bacteria	HVs	5.28884381069732
Hv04	Eukaryotic virus	HVs	0.9483057814859
Hv04	Fungi	HVs	0.454927368064598
Hv04	Phage	HVs	1.307923029252
Hv01	Bacteria	HVs	7.4940658089469
Hv01	Eukaryotic virus	HVs	0.2531600782763
Hv01	Fungi	HVs	0.03757103255397
Hv01	Phage	HVs	0.215203104875
Hv02	Bacteria	HVs	6.0015924476428
Hv02	Eukaryotic virus	HVs	0.461417507896
Hv02	Fungi	HVs	0.69766661039958
Hv02	Phage	HVs	0.839323322901
Hv03	Bacteria	HVs	6.49090822302924
Hv03	Eukaryotic virus	HVs	0.654164231701
Hv03	Fungi	HVs	0.042487166149853
Hv03	Phage	HVs	0.812440550376
DPt07	Bacteria	Donor	2.77972380832003
DPt07	Eukaryotic virus	Donor	2.04192649299
DPt07	Fungi	Donor	0.03261516657263
DPt07	Phage	Donor	0.14573468637
DPt09	Bacteria	Donor	4.0260714924699
DPt09	Eukaryotic virus	Donor	0.02512761537
DPt09	Fungi	Donor	0.09322012367227
DPt09	Phage	Donor	0.85558070669
DPt08	Bacteria	Donor	2.06342799027805
DPt08	Eukaryotic virus	Donor	2.0023118072845
DPt08	Fungi	Donor	0.037086376052857
DPt08	Phage	Donor	0.897173870792
DPt10	Bacteria	Donor	3.9257062842134
DPt10	Eukaryotic virus	Donor	0.7348117091
DPt10	Fungi	Donor	0.2319028720806
DPt10	Phage	Donor	0.10757911665
DPt15	Bacteria	Donor	3.9046154213135
DPt15	Eukaryotic virus	Donor	0.58051349307
DPt15	Fungi	Donor	0.44286175263223
DPt15	Phage	Donor	0.07200928507
DPt14	Bacteria	Donor	2.70449097141798
DPt14	Eukaryotic virus	Donor	1.932937554338
DPt14	Fungi	Donor	0.154729565237179
DPt14	Phage	Donor	0.20784194131
Hv05	Bacteria	HVs	4.1040173931249
Hv05	Eukaryotic virus	HVs	1.781139330612
Hv05	Fungi	HVs	0.07241418207121
