subject_id	Classification	Group	mean_abu_nor
Hv04	Alphapolyomavirus	HVs	0.0078550603
Hv04	Betapapillomavirus	HVs	0.29299228473
Hv04	Deltapolyomavirus	HVs	0.0001247691
Hv04	Gammapapillomavirus	HVs	0.10999656163
Hv04	Herpesviridae	HVs	3.011845e-06
Hv04	Molluscipoxvirus	HVs	4.0564155e-05
Hv04	Non-viruses	HVs	7.50476589644
Hv04	Papillomaviridae	HVs	0.0842218518
Hv04	Polyomaviridae	HVs	0
Hv04	Poxviridae	HVs	0
Hv01	Alphapolyomavirus	HVs	0.0001759472
Hv01	Betapapillomavirus	HVs	0.2418637718
Hv01	Deltapolyomavirus	HVs	0
Hv01	Gammapapillomavirus	HVs	0.0071587585
Hv01	Herpesviridae	HVs	0
Hv01	Molluscipoxvirus	HVs	0
Hv01	Non-viruses	HVs	7.7506204551
Hv01	Papillomaviridae	HVs	0.0001810674
Hv01	Polyomaviridae	HVs	0
Hv01	Poxviridae	HVs	0
Hv02	Alphapolyomavirus	HVs	0.3856170208
Hv02	Betapapillomavirus	HVs	0.00045556968
Hv02	Deltapolyomavirus	HVs	0
Hv02	Gammapapillomavirus	HVs	0.06947550635
Hv02	Herpesviridae	HVs	1.422546e-05
Hv02	Molluscipoxvirus	HVs	1.2684989e-05
Hv02	Non-viruses	HVs	7.544424992721
Hv02	Papillomaviridae	HVs	0
Hv02	Polyomaviridae	HVs	0
Hv02	Poxviridae	HVs	0
Hv03	Alphapolyomavirus	HVs	0.0005429124
Hv03	Betapapillomavirus	HVs	0.5424896462
Hv03	Deltapolyomavirus	HVs	0.0014685865
Hv03	Gammapapillomavirus	HVs	0.01276233402
Hv03	Herpesviridae	HVs	1.5579675e-05
Hv03	Molluscipoxvirus	HVs	0
Hv03	Non-viruses	HVs	7.353825879705
Hv03	Papillomaviridae	HVs	0.0763202205
Hv03	Polyomaviridae	HVs	0.012574841
Hv03	Poxviridae	HVs	0
DPt07	Alphapolyomavirus	Donor	0.0011642439
DPt07	Betapapillomavirus	Donor	0.0046478928
DPt07	Deltapolyomavirus	Donor	1.934534133
DPt07	Gammapapillomavirus	Donor	0.0865527198
DPt07	Herpesviridae	Donor	3.687585e-05
DPt07	Molluscipoxvirus	Donor	0.00013767021
DPt07	Non-viruses	Donor	2.95870088844
DPt07	Papillomaviridae	Donor	0
DPt07	Polyomaviridae	Donor	0.014225576
DPt09	Alphapolyomavirus	Donor	0.01240598
DPt09	Betapapillomavirus	Donor	0.0063908021
DPt09	Deltapolyomavirus	Donor	0
DPt09	Gammapapillomavirus	Donor	0.0057820135
DPt09	Herpesviridae	Donor	2.555566e-05
DPt09	Molluscipoxvirus	Donor	0.0003645333
DPt09	Non-viruses	Donor	4.97503111544
DPt09	Papillomaviridae	Donor	0
DPt09	Polyomaviridae	Donor	0
DPt08	Alphapolyomavirus	Donor	0.0075991699
DPt08	Betapapillomavirus	Donor	1.2129808086
DPt08	Deltapolyomavirus	Donor	0.510715898
DPt08	Gammapapillomavirus	Donor	0.2630507063
DPt08	Herpesviridae	Donor	8.7285518e-05
DPt08	Molluscipoxvirus	Donor	3.82352e-06
DPt08	Non-viruses	Donor	2.997873615972
DPt08	Papillomaviridae	Donor	0.00768869219
DPt08	Polyomaviridae	Donor	0
DPt10	Alphapolyomavirus	Donor	0.009504855
DPt10	Betapapillomavirus	Donor	0.0495457195
DPt10	Deltapolyomavirus	Donor	0.01421178
DPt10	Gammapapillomavirus	Donor	0.4267671222
DPt10	Herpesviridae	Donor	0.00178033994
DPt10	Molluscipoxvirus	Donor	2.29308e-05
DPt10	Non-viruses	Donor	4.28680106736
DPt10	Papillomaviridae	Donor	0.2103499512
DPt10	Polyomaviridae	Donor	0.001016234
DPt15	Alphapolyomavirus	Donor	0
DPt15	Betapapillomavirus	Donor	0.0321316382
DPt15	Deltapolyomavirus	Donor	0.005812668
DPt15	Gammapapillomavirus	Donor	0.5264461656
DPt15	Herpesviridae	Donor	1.33999e-05
DPt15	Molluscipoxvirus	Donor	0.0004393813
DPt15	Non-viruses	Donor	4.4195016588
DPt15	Papillomaviridae	Donor	0.005262973
DPt15	Polyomaviridae	Donor	0.0103921152
DPt14	Alphapolyomavirus	Donor	1.1906916785
DPt14	Betapapillomavirus	Donor	0.03489933577
DPt14	Deltapolyomavirus	Donor	0.65828392
DPt14	Gammapapillomavirus	Donor	0.0421154305
DPt14	Herpesviridae	Donor	0
DPt14	Molluscipoxvirus	Donor	3.768868e-06
DPt14	Non-viruses	Donor	3.073701704762
DPt14	Papillomaviridae	Donor	0.0003041616
DPt14	Polyomaviridae	Donor	0
Hv05	Alphapolyomavirus	HVs	0
Hv05	Betapapillomavirus	HVs	0.8689877881
Hv05	Deltapolyomavirus	HVs	0
Hv05	Gammapapillomavirus	HVs	0.8710504565
Hv05	Herpesviridae	HVs	0
Hv05	Molluscipoxvirus	HVs	0.000158856945
