site_specific	kingdom	Group	site_mean
Ra	Bacteria	Pre-Tx	0.264858218761532
Ra	Bacteria	Post-Tx-onIS-1M	0.090814005113
Ra	Bacteria	Post-Tx-onIS-2M	0.0612112428597
Ra	Bacteria	Post-Tx-onIS-3M	0.232967214838367
Ra	Bacteria	Post-Tx-onIS-6M	0.6496676118374
Ra	Bacteria	Post-Tx-onIS>12M	0.5973308190526
Ra	Bacteria	Post-Tx-offIS-12M	0.759825043775308
Ra	Bacteria	Post-Tx-offIS-24M	0.690327371886933
Ra	Bacteria	HVs	0.835635193749133
Ra	Bacteria	Donor	0.781591692587986
Ra	Eukaryotic virus	Pre-Tx	0.726955742134429
Ra	Eukaryotic virus	Post-Tx-onIS-1M	0.908184623315667
Ra	Eukaryotic virus	Post-Tx-onIS-2M	0.936697711794667
Ra	Eukaryotic virus	Post-Tx-onIS-3M	0.754983330716817
Ra	Eukaryotic virus	Post-Tx-onIS-6M	0.244704226923714
Ra	Eukaryotic virus	Post-Tx-onIS>12M	0.0037660917385
Ra	Eukaryotic virus	Post-Tx-offIS-12M	0.0634300306463077
Ra	Eukaryotic virus	Post-Tx-offIS-24M	0.0078530124525
Ra	Eukaryotic virus	HVs	0.0002233775248
Ra	Eukaryotic virus	Donor	0.000501934091071429
Ra	Fungi	Pre-Tx	0.00718667898270589
Ra	Fungi	Post-Tx-onIS-1M	0.000723345214333333
Ra	Fungi	Post-Tx-onIS-2M	0.00206306246533333
Ra	Fungi	Post-Tx-onIS-3M	0.0117107564964667
Ra	Fungi	Post-Tx-onIS-6M	0.105341983256143
Ra	Fungi	Post-Tx-onIS>12M	0.392752243367425
Ra	Fungi	Post-Tx-offIS-12M	0.176338926999692
Ra	Fungi	Post-Tx-offIS-24M	0.297153990461833
Ra	Fungi	HVs	0.136290770836033
Ra	Fungi	Donor	0.202726658207386
Ra	Phage	Pre-Tx	0.000999372550970772
Ra	Phage	Post-Tx-onIS-1M	0.000278005013
Ra	Phage	Post-Tx-onIS-2M	2.79705387666667e-05
Ra	Phage	Post-Tx-onIS-3M	0.000338717085033333
Ra	Phage	Post-Tx-onIS-6M	0.000286182093571429
Ra	Phage	Post-Tx-onIS>12M	0.006150882994425
Ra	Phage	Post-Tx-offIS-12M	0.000405999541615385
Ra	Phage	Post-Tx-offIS-24M	0.0046656341675
Ra	Phage	HVs	0.0278506414366667
Ra	Phage	Donor	0.0151797235561429
Mb	Bacteria	Pre-Tx	0.307920164634108
Mb	Bacteria	Post-Tx-onIS-1M	0.284336956220867
Mb	Bacteria	Post-Tx-onIS-2M	0.304957503058633
Mb	Bacteria	Post-Tx-onIS-3M	0.319002254598686
Mb	Bacteria	Post-Tx-onIS-6M	0.5336303942464
Mb	Bacteria	Post-Tx-onIS>12M	0.641867896523525
Mb	Bacteria	Post-Tx-offIS-12M	0.835970889325615
Mb	Bacteria	Post-Tx-offIS-24M	0.736015427497708
Mb	Bacteria	HVs	0.947196597464933
Mb	Bacteria	Donor	0.8204130861928
Mb	Eukaryotic virus	Pre-Tx	0.682100774793488
Mb	Eukaryotic virus	Post-Tx-onIS-1M	0.710538287144667
Mb	Eukaryotic virus	Post-Tx-onIS-2M	0.689623972356167
Mb	Eukaryotic virus	Post-Tx-onIS-3M	0.677479216131843
Mb	Eukaryotic virus	Post-Tx-onIS-6M	0.260820308442671
Mb	Eukaryotic virus	Post-Tx-onIS>12M	0.0006308818807
