grp	site_specific	Ref	relative_abu
1	Hv04 HVs	Ac	Malassezia_arunalokei	10.9826508551974
2	Hv04 HVs	Ac	Malassezia_auris	9.81768634501695
3	Hv04 HVs	Ac	Malassezia_restricta	79.1996627997856
4	Hv04 HVs	Hp	Malassezia_arunalokei	10.6319088598571
5	Hv04 HVs	Hp	Malassezia_auris	8.80004746146251
6	Hv04 HVs	Hp	Malassezia_globosa	3.61537914633622
7	Hv04 HVs	Hp	Malassezia_restricta	76.9526645323442
8	Hv04 HVs	Ic	Malassezia_globosa	98.5272433363422
9	Hv04 HVs	Ic	Malassezia_restricta	1.47275666365785
10	Hv04 HVs	Mb	Malassezia_restricta	100
11	Hv04 HVs	Pc	Malassezia_restricta	100
12	Hv04 HVs	Ra	Malassezia_restricta	100
13	Hv04 HVs	Vf	Malassezia_arunalokei	11.561368912608
14	Hv04 HVs	Vf	Malassezia_auris	11.265163910265
15	Hv04 HVs	Vf	Malassezia_restricta	77.173467177127
16	Hv01 HVs	Ac	Malassezia_restricta	100
17	Hv01 HVs	Hp	Malassezia_restricta	100
18	Hv02 HVs	Ac	Malassezia_arunalokei	1.67692283849604
19	Hv02 HVs	Ac	Malassezia_auris	1.42635300902004
20	Hv02 HVs	Ac	Malassezia_globosa	0.551380594946831
21	Hv02 HVs	Ac	Malassezia_palmae	30.492585037664
22	Hv02 HVs	Ac	Malassezia_restricta	29.6020426552953
23	Hv02 HVs	Ac	Malassezia_slooffiae	36.2507158645778
24	Hv02 HVs	Hp	Malassezia_arunalokei	2.03169642712085
25	Hv02 HVs	Hp	Malassezia_auris	1.72635536672175
26	Hv02 HVs	Hp	Malassezia_furfur	0.289182953655999
27	Hv02 HVs	Hp	Malassezia_globosa	1.47684727004991
28	Hv02 HVs	Hp	Malassezia_palmae	25.6643717598758
29	Hv02 HVs	Hp	Malassezia_rara	0.24542025652713
30	Hv02 HVs	Hp	Malassezia_restricta	33.2371946680945
31	Hv02 HVs	Hp	Malassezia_slooffiae	35.328931297954
32	Hv02 HVs	Ic	Malassezia_globosa	12.1590880406465
33	Hv02 HVs	Ic	Malassezia_palmae	26.2855290277946
34	Hv02 HVs	Ic	Malassezia_restricta	27.5936759558273
35	Hv02 HVs	Ic	Malassezia_slooffiae	33.9617069757316
36	Hv02 HVs	Mb	Malassezia_arunalokei	3.47078178007568
37	Hv02 HVs	Mb	Malassezia_auris	3.27596049507227
38	Hv02 HVs	Mb	Malassezia_globosa	10.2729516856589
39	Hv02 HVs	Mb	Malassezia_palmae	4.44641894878612
40	Hv02 HVs	Mb	Malassezia_rara	3.53254717526786
41	Hv02 HVs	Mb	Malassezia_restricta	66.9672753813905
42	Hv02 HVs	Mb	Malassezia_slooffiae	8.03406453374868
43	Hv02 HVs	Pc	Malassezia_palmae	30.7854453959783
44	Hv02 HVs	Pc	Malassezia_restricta	30.2707947068098
45	Hv02 HVs	Pc	Malassezia_slooffiae	38.9437598972119
46	Hv02 HVs	Ph	Malassezia_palmae	32.25149522539
47	Hv02 HVs	Ph	Malassezia_restricta	27.5971876415971
48	Hv02 HVs	Ph	Malassezia_slooffiae	40.1513171330129
49	Hv02 HVs	Ra	Malassezia_arunalokei	2.77882829332505
50	Hv02 HVs	Ra	Malassezia_auris	2.53807442071364
51	Hv02 HVs	Ra	Malassezia_globosa	0.466757986972121
52	Hv02 HVs	Ra	Malassezia_palmae	7.39306340677244
53	Hv02 HVs	Ra	Malassezia_restricta	70.27685101613
54	Hv02 HVs	Ra	Malassezia_slooffiae	16.5464248760867
55	Hv02 HVs	Vf	Malassezia_arunalokei	1.87501317799568
56	Hv02 HVs	Vf	Malassezia_auris	1.58732262818392
57	Hv02 HVs	Vf	Malassezia_palmae	32.8682033789187
58	Hv02 HVs	Vf	Malassezia_restricta	34.8725771115042
59	Hv02 HVs	Vf	Malassezia_slooffiae	28.7968837033975
60	Hv03 HVs	Ac	Malassezia_restricta	100
61	Hv03 HVs	Hp	Malassezia_restricta	100
62	Hv03 HVs	Ic	Malassezia_globosa	100
63	Hv03 HVs	Mb	Malassezia_globosa	35.4788802706701
64	Hv03 HVs	Mb	Malassezia_restricta	20.7586546294668
65	Hv03 HVs	Mb	Malassezia_sympodialis	43.7624650998631
66	Hv03 HVs	Pc	Malassezia_restricta	100
67	Hv03 HVs	Ra	Malassezia_arunalokei	41.0589797980458
68	Hv03 HVs	Ra	Malassezia_auris	42.2234694683138
69	Hv03 HVs	Ra	Malassezia_restricta	16.7175507336404
70	Hv03 HVs	Vf	Malassezia_restricta	100
71	Hv05 HVs	Ra	Malassezia_restricta	100
72	Hv06 HVs	Ac	Malassezia_globosa	45.455715262007
