group	site_specific	Taxa	relab
1	Hv04 HVs	Ac	C.gottingense	0.0948317640792034
2	Hv04 HVs	Ac	C.kefirresidentii	0.368824386545772
3	Hv04 HVs	Ac	C.mucifaciens	0.239915036562389
4	Hv04 HVs	Ac	C.sp022346005	0.0765462611534669
5	Hv04 HVs	Ac	C.sp943913395	0.1116150940205
6	Hv04 HVs	Ac	C.tuberculostearicum	0.108267457638668
7	Hv04 HVs	Hp	C.amycolatum_A	0.00804517710068931
8	Hv04 HVs	Hp	C.aurimucosum_C	0.0101687744196709
9	Hv04 HVs	Hp	C.aurimucosum_E	0.0398159434875156
10	Hv04 HVs	Hp	C.bovis	0.0075710315388494
11	Hv04 HVs	Hp	C.gottingense	0.0733561116411041
12	Hv04 HVs	Hp	C.haemomassiliense	0.0102907020885297
13	Hv04 HVs	Hp	C.jeikeium_A	0.0147433676790725
14	Hv04 HVs	Hp	C.kefirresidentii	0.30195921749039
15	Hv04 HVs	Hp	C.kroppenstedtii	0.0237867851210082
16	Hv04 HVs	Hp	C.matruchotii	0.0788686683598771
17	Hv04 HVs	Hp	C.mucifaciens	0.011053958909607
18	Hv04 HVs	Hp	C.pseudokroppenstedtii	0.0203262650215328
19	Hv04 HVs	Hp	C.simulans	0.00926223080779474
20	Hv04 HVs	Hp	C.singulare	0.0472448866950536
21	Hv04 HVs	Hp	C.sp017942225	0.0065382017666058
22	Hv04 HVs	Hp	C.sp022346005	0.038386489479854
23	Hv04 HVs	Hp	C.sp900539985	0.0431589290965975
24	Hv04 HVs	Hp	C.sp943912665	0.0330773938810134
25	Hv04 HVs	Hp	C.sp943913395	0.0634423079692716
26	Hv04 HVs	Hp	C.tuberculostearicum	0.105020331259441
27	Hv04 HVs	Hp	C.tuberculostearicum_D	0.0538832261865224
28	Hv04 HVs	Ic	C.aurimucosum_E	0.0525495300066746
29	Hv04 HVs	Ic	C.gottingense	0.109463520831753
30	Hv04 HVs	Ic	C.haemomassiliense	0.0222472648696946
31	Hv04 HVs	Ic	C.jeikeium_A	0.0224896255959344
32	Hv04 HVs	Ic	C.kefirresidentii	0.319969434796489
33	Hv04 HVs	Ic	C.singulare	0.0615723017256353
34	Hv04 HVs	Ic	C.sp900539985	0.0626783819784857
35	Hv04 HVs	Ic	C.sp943912665	0.0457253752720791
