subject_id	final_taxa	Group	site_specific	rela_abu
1	Hv02	Actinobacteriota	HVs	Ac	0.0919881305637981
2	Hv02	Actinobacteriota	HVs	Ic	0.462952158693116
3	Hv02	Actinobacteriota	HVs	Mb	0.0141335518230233
4	Hv02	Actinobacteriota	HVs	Ph	0.0524085637823372
5	Hv02	Actinobacteriota	HVs	Ra	0.0451612903225807
6	Hv02	Actinobacteriota	HVs	Vf	0.113617830932319
7	Hv02	Alphaproteobacteria	HVs	Ac	0
8	Hv02	Alphaproteobacteria	HVs	Ic	0
9	Hv02	Alphaproteobacteria	HVs	Mb	0
10	Hv02	Alphaproteobacteria	HVs	Ph	0
11	Hv02	Alphaproteobacteria	HVs	Ra	0.000222469410456062
12	Hv02	Alphaproteobacteria	HVs	Vf	0.00244631693394944
13	Hv02	Bacteria	HVs	Ac	0.0129484758564877
14	Hv02	Bacteria	HVs	Ic	0.0043757292882147
15	Hv02	Bacteria	HVs	Mb	0.00102417042195821
16	Hv02	Bacteria	HVs	Ph	0.000446030330062444
17	Hv02	Bacteria	HVs	Ra	0.00289210233592881
18	Hv02	Bacteria	HVs	Vf	0.0312584941560206
19	Hv02	Corynebacterium tuberculostearicum	HVs	Ac	0.260048556784462
20	Hv02	Corynebacterium tuberculostearicum	HVs	Ic	0.272170361726954
21	Hv02	Corynebacterium tuberculostearicum	HVs	Mb	0.00266284309709136
22	Hv02	Corynebacterium tuberculostearicum	HVs	Ph	0.172167707404103
23	Hv02	Corynebacterium tuberculostearicum	HVs	Ra	0.0469410456062291
24	Hv02	Corynebacterium tuberculostearicum	HVs	Vf	0.033161185104648
25	Hv02	Cutibacterium acnes	HVs	Ac	0.0248179120582681
26	Hv02	Cutibacterium acnes	HVs	Ic	0.00700116686114352
27	Hv02	Cutibacterium acnes	HVs	Mb	0.965997541990987
28	Hv02	Cutibacterium acnes	HVs	Ph	0.000446030330062444
29	Hv02	Cutibacterium acnes	HVs	Ra	0.181757508342603
30	Hv02	Cutibacterium acnes	HVs	Vf	0.1967926066866
31	Hv02	Firmicutes	HVs	Ac	0.109522524952792
32	Hv02	Firmicutes	HVs	Ic	0.156942823803967
33	Hv02	Firmicutes	HVs	Mb	0.00737402703809914
34	Hv02	Firmicutes	HVs	Ph	0.0109277430865299
35	Hv02	Firmicutes	HVs	Ra	0.274527252502781
36	Hv02	Firmicutes	HVs	Vf	0.501766784452297
37	Hv02	Gammaproteobacteria	HVs	Ac	0.00377663879147559
38	Hv02	Gammaproteobacteria	HVs	Ic	0.00175029171528588
39	Hv02	Gammaproteobacteria	HVs	Mb	0.00286767718148299
40	Hv02	Gammaproteobacteria	HVs	Ph	0
41	Hv02	Gammaproteobacteria	HVs	Ra	0.003559510567297
42	Hv02	Gammaproteobacteria	HVs	Vf	0.0676814351726013
43	Hv02	Micrococcus luteus	HVs	Ac	0
44	Hv02	Micrococcus luteus	HVs	Ic	0
45	Hv02	Micrococcus luteus	HVs	Mb	0
46	Hv02	Micrococcus luteus	HVs	Ph	0
47	Hv02	Micrococcus luteus	HVs	Ra	0
48	Hv02	Micrococcus luteus	HVs	Vf	0
49	Hv02	Staphylococcus aureus	HVs	Ac	0
50	Hv02	Staphylococcus aureus	HVs	Ic	0
51	Hv02	Staphylococcus aureus	HVs	Mb	0
52	Hv02	Staphylococcus aureus	HVs	Ph	0
53	Hv02	Staphylococcus aureus	HVs	Ra	0
54	Hv02	Staphylococcus aureus	HVs	Vf	0
55	Hv02	Staphylococcus epidermidis	HVs	Ac	0.449420016185595
56	Hv02	Staphylococcus epidermidis	HVs	Ic	0.014585764294049
57	Hv02	Staphylococcus epidermidis	HVs	Mb	0.00122900450634986
58	Hv02	Staphylococcus epidermidis	HVs	Ph	0.0443800178412132
59	Hv02	Staphylococcus epidermidis	HVs	Ra	0.439377085650723
60	Hv02	Staphylococcus epidermidis	HVs	Vf	0.0309866811633596
61	Hv02	Staphylococcus hominis	HVs	Ac	0.0474777448071216
62	Hv02	Staphylococcus hominis	HVs	Ic	0.0802217036172695
63	Hv02	Staphylococcus hominis	HVs	Mb	0.00471118394100779
64	Hv02	Staphylococcus hominis	HVs	Ph	0.719223907225691
65	Hv02	Staphylococcus hominis	HVs	Ra	0.00556173526140156
66	Hv02	Staphylococcus hominis	HVs	Vf	0.022288665398206
67	Hv04	Actinobacteriota	HVs	Ac	0.218370103556956
68	Hv04	Actinobacteriota	HVs	Ic	0.0970328789093826
69	Hv04	Actinobacteriota	HVs	Mb	0.120249346470943
70	Hv04	Actinobacteriota	HVs	Ph	0.251846193022664
71	Hv04	Actinobacteriota	HVs	Ra	0.458633443644151
72	Hv04	Actinobacteriota	HVs	Vf	0.301845556095192
73	Hv04	Alphaproteobacteria	HVs	Ac	0.00360198108959927
74	Hv04	Alphaproteobacteria	HVs	Ic	0
75	Hv04	Alphaproteobacteria	HVs	Mb	0
76	Hv04	Alphaproteobacteria	HVs	Ph	0.00407435701553348
77	Hv04	Alphaproteobacteria	HVs	Ra	0
78	Hv04	Alphaproteobacteria	HVs	Vf	0.0031568722680913
79	Hv04	Bacteria	HVs	Ac	0.00472760018009905
80	Hv04	Bacteria	HVs	Ic	0
81	Hv04	Bacteria	HVs	Mb	0.000201085863663784
82	Hv04	Bacteria	HVs	Ph	0.00636618283677107
83	Hv04	Bacteria	HVs	Ra	0.00019466614755694
84	Hv04	Bacteria	HVs	Vf	0.014570179698883
85	Hv04	Corynebacterium tuberculostearicum	HVs	Ac	0.253489419180549
86	Hv04	Corynebacterium tuberculostearicum	HVs	Ic	0.751804330392943
87	Hv04	Corynebacterium tuberculostearicum	HVs	Mb	0.00965212145586165
88	Hv04	Corynebacterium tuberculostearicum	HVs	Ph	0.18742042271454
89	Hv04	Corynebacterium tuberculostearicum	HVs	Ra	0.00214132762312634
90	Hv04	Corynebacterium tuberculostearicum	HVs	Vf	0.14983001457018
91	Hv04	Cutibacterium acnes	HVs	Ac	0.264745610085547
92	Hv04	Cutibacterium acnes	HVs	Ic	0.0711708099438653
93	Hv04	Cutibacterium acnes	HVs	Mb	0.849788859843152
94	Hv04	Cutibacterium acnes	HVs	Ph	0.106697224344283
95	Hv04	Cutibacterium acnes	HVs	Ra	0.476932061514503
96	Hv04	Cutibacterium acnes	HVs	Vf	0.32442933462846
97	Hv04	Firmicutes	HVs	Ac	0.0339936965330932
98	Hv04	Firmicutes	HVs	Ic	0.00862068965517241
99	Hv04	Firmicutes	HVs	Mb	0.000201085863663784
100	Hv04	Firmicutes	HVs	Ph	0.102113572701808
101	Hv04	Firmicutes	HVs	Ra	0.0124586334436442
102	Hv04	Firmicutes	HVs	Vf	0.0517241379310345
103	Hv04	Gammaproteobacteria	HVs	Ac	0.179648806843764
104	Hv04	Gammaproteobacteria	HVs	Ic	0.00100240577385726
105	Hv04	Gammaproteobacteria	HVs	Mb	0.0162879549567666
106	Hv04	Gammaproteobacteria	HVs	Ph	0.0710466004583651
107	Hv04	Gammaproteobacteria	HVs	Ra	0.00233599377068328
108	Hv04	Gammaproteobacteria	HVs	Vf	0.111461874696455
109	Hv04	Micrococcus luteus	HVs	Ac	0.00112561909049977
110	Hv04	Micrococcus luteus	HVs	Ic	0
111	Hv04	Micrococcus luteus	HVs	Mb	0
112	Hv04	Micrococcus luteus	HVs	Ph	0.00636618283677107
113	Hv04	Micrococcus luteus	HVs	Ra	0
114	Hv04	Micrococcus luteus	HVs	Vf	0
115	Hv04	Staphylococcus aureus	HVs	Ac	0
116	Hv04	Staphylococcus aureus	HVs	Ic	0
117	Hv04	Staphylococcus aureus	HVs	Mb	0
118	Hv04	Staphylococcus aureus	HVs	Ph	0
119	Hv04	Staphylococcus aureus	HVs	Ra	0
120	Hv04	Staphylococcus aureus	HVs	Vf	0
121	Hv04	Staphylococcus epidermidis	HVs	Ac	0.0227375056280955
122	Hv04	Staphylococcus epidermidis	HVs	Ic	0.0384923817161186
123	Hv04	Staphylococcus epidermidis	HVs	Mb	0.00281520209129298
124	Hv04	Staphylococcus epidermidis	HVs	Ph	0.130634071810542
125	Hv04	Staphylococcus epidermidis	HVs	Ra	0.0467198754136655
126	Hv04	Staphylococcus epidermidis	HVs	Vf	0.026469159786304
127	Hv04	Staphylococcus hominis	HVs	Ac	0.0175596578117965
128	Hv04	Staphylococcus hominis	HVs	Ic	0.0318765036086607
129	Hv04	Staphylococcus hominis	HVs	Mb	0.000804343454655138
130	Hv04	Staphylococcus hominis	HVs	Ph	0.133435192258722
131	Hv04	Staphylococcus hominis	HVs	Ra	0.00058399844267082
132	Hv04	Staphylococcus hominis	HVs	Vf	0.0165128703254007
133	Hv01	Actinobacteriota	HVs	Ac	0.131436877076412
134	Hv01	Actinobacteriota	HVs	Ic	0.296816684961581
135	Hv01	Actinobacteriota	HVs	Mb	0.00530179445350734
136	Hv01	Actinobacteriota	HVs	Ph	0.0500984467293809
137	Hv01	Actinobacteriota	HVs	Ra	0.0438377235147088
138	Hv01	Actinobacteriota	HVs	Vf	0.0654355680449619
139	Hv01	Alphaproteobacteria	HVs	Ac	0.00394518272425249
140	Hv01	Alphaproteobacteria	HVs	Ic	0.0017563117453348
141	Hv01	Alphaproteobacteria	HVs	Mb	0
142	Hv01	Alphaproteobacteria	HVs	Ph	0.00262524611682345
143	Hv01	Alphaproteobacteria	HVs	Ra	0
144	Hv01	Alphaproteobacteria	HVs	Vf	0.00321156162183862
145	Hv01	Bacteria	HVs	Ac	0.00352990033222591
146	Hv01	Bacteria	HVs	Ic	0.00197585071350165
147	Hv01	Bacteria	HVs	Mb	0
148	Hv01	Bacteria	HVs	Ph	0
149	Hv01	Bacteria	HVs	Ra	0.000576812151509325
150	Hv01	Bacteria	HVs	Vf	0.0174628663187475
151	Hv01	Corynebacterium tuberculostearicum	HVs	Ac	0.054609634551495
152	Hv01	Corynebacterium tuberculostearicum	HVs	Ic	0.255543358946213
153	Hv01	Corynebacterium tuberculostearicum	HVs	Mb	0.0018352365415987
154	Hv01	Corynebacterium tuberculostearicum	HVs	Ph	0.379348063880989
155	Hv01	Corynebacterium tuberculostearicum	HVs	Ra	0.00499903864641415
156	Hv01	Corynebacterium tuberculostearicum	HVs	Vf	0.0268968285828984
157	Hv01	Cutibacterium acnes	HVs	Ac	0.66985049833887
158	Hv01	Cutibacterium acnes	HVs	Ic	0.2794731064764
159	Hv01	Cutibacterium acnes	HVs	Mb	0.927610114192496
160	Hv01	Cutibacterium acnes	HVs	Ph	0.000656311529205863
161	Hv01	Cutibacterium acnes	HVs	Ra	0.401268986733321
162	Hv01	Cutibacterium acnes	HVs	Vf	0.754315535929346
163	Hv01	Firmicutes	HVs	Ac	0.0899086378737542
164	Hv01	Firmicutes	HVs	Ic	0.0450054884742042
165	Hv01	Firmicutes	HVs	Mb	0.0577079934747144
166	Hv01	Firmicutes	HVs	Ph	0.0205644279151171
167	Hv01	Firmicutes	HVs	Ra	0.0376850605652759
168	Hv01	Firmicutes	HVs	Vf	0.0873143315937374
169	Hv01	Gammaproteobacteria	HVs	Ac	0.00415282392026578
170	Hv01	Gammaproteobacteria	HVs	Ic	0.00109769484083425
171	Hv01	Gammaproteobacteria	HVs	Mb	0.000203915171288744
172	Hv01	Gammaproteobacteria	HVs	Ph	0.0299715598337344
173	Hv01	Gammaproteobacteria	HVs	Ra	0
174	Hv01	Gammaproteobacteria	HVs	Vf	0.00501806503412284
175	Hv01	Micrococcus luteus	HVs	Ac	0
176	Hv01	Micrococcus luteus	HVs	Ic	0.00417124039517014
177	Hv01	Micrococcus luteus	HVs	Mb	0
178	Hv01	Micrococcus luteus	HVs	Ph	0
179	Hv01	Micrococcus luteus	HVs	Ra	0
180	Hv01	Micrococcus luteus	HVs	Vf	0
181	Hv01	Staphylococcus aureus	HVs	Ac	0
182	Hv01	Staphylococcus aureus	HVs	Ic	0
183	Hv01	Staphylococcus aureus	HVs	Mb	0
184	Hv01	Staphylococcus aureus	HVs	Ph	0
185	Hv01	Staphylococcus aureus	HVs	Ra	0
186	Hv01	Staphylococcus aureus	HVs	Vf	0
187	Hv01	Staphylococcus epidermidis	HVs	Ac	0.025124584717608
188	Hv01	Staphylococcus epidermidis	HVs	Ic	0.0889132821075741
189	Hv01	Staphylococcus epidermidis	HVs	Mb	0.0065252854812398
190	Hv01	Staphylococcus epidermidis	HVs	Ph	0.0605994311966747
191	Hv01	Staphylococcus epidermidis	HVs	Ra	0.508556046914055
192	Hv01	Staphylococcus epidermidis	HVs	Vf	0.032517061421116
193	Hv01	Staphylococcus hominis	HVs	Ac	0.0174418604651163
194	Hv01	Staphylococcus hominis	HVs	Ic	0.0252469813391877
195	Hv01	Staphylococcus hominis	HVs	Mb	0.000815660685154976
196	Hv01	Staphylococcus hominis	HVs	Ph	0.456136512798075
197	Hv01	Staphylococcus hominis	HVs	Ra	0.0030763314747164
198	Hv01	Staphylococcus hominis	HVs	Vf	0.00782818145323163
199	Hv03	Actinobacteriota	HVs	Ac	0.0844642021525503
200	Hv03	Actinobacteriota	HVs	Ic	0.0983050847457628
201	Hv03	Actinobacteriota	HVs	Mb	0.0279465370595383
202	Hv03	Actinobacteriota	HVs	Ph	0.0650953984287318
203	Hv03	Actinobacteriota	HVs	Ra	0.0408702724684831
204	Hv03	Actinobacteriota	HVs	Vf	0.0610980559709464
205	Hv03	Alphaproteobacteria	HVs	Ac	0.00210575573233505
206	Hv03	Alphaproteobacteria	HVs	Ic	0.00435835351089588
207	Hv03	Alphaproteobacteria	HVs	Mb	0
208	Hv03	Alphaproteobacteria	HVs	Ph	0.00645342312008979
209	Hv03	Alphaproteobacteria	HVs	Ra	0
210	Hv03	Alphaproteobacteria	HVs	Vf	0.00277718436231574
211	Hv03	Bacteria	HVs	Ac	0.0100608329433786
