Sample	ASVcount	site_specific	grp
1	VXV20295	139	Ac	Post-Tx-onIS-1M
2	VXV20296	25	Ic	Post-Tx-onIS-1M
3	VXV20297	189	Mb	Post-Tx-onIS-1M
4	VXV20298	64	Pc	Post-Tx-onIS-1M
5	VXV20299	82	Ph	Post-Tx-onIS-1M
6	VXV20300	16	Ra	Post-Tx-onIS-1M
7	VXV20301	77	Vf	Post-Tx-onIS-1M
8	VXV20195	70	Ac	Post-Tx-onIS-1M
9	VXV20196	125	Ic	Post-Tx-onIS-1M
10	VXV20197	124	Mb	Post-Tx-onIS-1M
11	VXV20198	96	Pc	Post-Tx-onIS-1M
12	VXV20199	245	Ph	Post-Tx-onIS-1M
13	VXV20200	64	Ra	Post-Tx-onIS-1M
14	VXV20201	88	Vf	Post-Tx-onIS-1M
15	VXV20277	118	Ac	Post-Tx-onIS-1M
16	VXV20278	49	Hp	Post-Tx-onIS-1M
17	VXV20279	77	Ic	Post-Tx-onIS-1M
18	VXV20280	104	Mb	Post-Tx-onIS-1M
19	VXV20281	132	Pc	Post-Tx-onIS-1M
20	VXV20282	302	Ph	Post-Tx-onIS-1M
21	VXV20283	88	Ra	Post-Tx-onIS-1M
22	VXV20284	168	Vf	Post-Tx-onIS-1M
23	VXV19670	172	Ac	Pre-Tx-1M
24	VXV19671	133	Ic	Pre-Tx-1M
25	VXV19672	59	Mb	Pre-Tx-1M
26	VXV19673	144	Pc	Pre-Tx-1M
27	VXV19674	112	Ph	Pre-Tx-1M
28	VXV19675	41	Ra	Pre-Tx-1M
29	VXV19676	210	Vf	Pre-Tx-1M
30	VXV20159	17	Ac	Pre-Tx-1M
31	VXV20161	114	Ic	Pre-Tx-1M
32	VXV20162	163	Mb	Pre-Tx-1M
33	VXV20163	194	Ph	Pre-Tx-1M
34	VXV20164	24	Pc	Pre-Tx-1M
35	VXV20165	34	Ra	Pre-Tx-1M
36	VXV20166	230	Vf	Pre-Tx-1M
37	VXV20259	160	Ac	Pre-Tx-1M
