Group_Comparison	Site_Specific	Group1	Mean	Group2	Sd	Group
1	Post-Tx-offIS-12M vs Pre-Tx	Ac	mean_pre	0.752153222391216	sd_pre	0.281673852399352	mean_pre
2	Post-Tx-offIS-12M vs Pre-Tx	Hp	mean_pre	0.805087782045763	sd_pre	0.176742897288281	mean_pre
3	Post-Tx-offIS-12M vs Pre-Tx	Ic	mean_pre	0.84663314505946	sd_pre	0.152345312148635	mean_pre
4	Post-Tx-offIS-12M vs Pre-Tx	Mb	mean_pre	0.787282449557825	sd_pre	0.211805346766323	mean_pre
5	Post-Tx-offIS-12M vs Pre-Tx	Pc	mean_pre	0.704134296236148	sd_pre	0.32194045040554	mean_pre
6	Post-Tx-offIS-12M vs Pre-Tx	Ph	mean_pre	0.662282072608959	sd_pre	0.290631916840275	mean_pre
7	Post-Tx-offIS-12M vs Pre-Tx	Ra	mean_pre	0.453573010450816	sd_pre	0.370920755775663	mean_pre
8	Post-Tx-offIS-12M vs Pre-Tx	Vf	mean_pre	0.827046301504935	sd_pre	0.208619074938405	mean_pre
9	Post-Tx-offIS-24M vs Pre-Tx	Ac	mean_pre	0.848095453327953	sd_pre	0.211581927661949	mean_pre
10	Post-Tx-offIS-24M vs Pre-Tx	Hp	mean_pre	0.756808799346378	sd_pre	0.280644450327365	mean_pre
11	Post-Tx-offIS-24M vs Pre-Tx	Ic	mean_pre	0.641822390975147	sd_pre	0.35346712944006	mean_pre
12	Post-Tx-offIS-24M vs Pre-Tx	Mb	mean_pre	0.75703791858576	sd_pre	0.264325619830834	mean_pre
13	Post-Tx-offIS-24M vs Pre-Tx	Pc	mean_pre	0.741084458398134	sd_pre	0.297273701833323	mean_pre
14	Post-Tx-offIS-24M vs Pre-Tx	Ph	mean_pre	0.824848814093463	sd_pre	0.206988893386435	mean_pre
15	Post-Tx-offIS-24M vs Pre-Tx	Ra	mean_pre	0.67711709974542	sd_pre	0.271895375875058	mean_pre
16	Post-Tx-offIS-24M vs Pre-Tx	Vf	mean_pre	0.797037687058354	sd_pre	0.250290175498521	mean_pre
17	Post-Tx-onIS-1M vs Pre-Tx	Ac	mean_pre	0.96857150587274	sd_pre	0.0256141046323409	mean_pre
18	Post-Tx-onIS-1M vs Pre-Tx	Hp	mean_pre	0.822979041916168	sd_pre	NA	mean_pre
19	Post-Tx-onIS-1M vs Pre-Tx	Ic	mean_pre	0.876275825662433	sd_pre	0.0781295429469368	mean_pre
20	Post-Tx-onIS-1M vs Pre-Tx	Mb	mean_pre	0.930386305715002	sd_pre	0.0594770930514837	mean_pre
21	Post-Tx-onIS-1M vs Pre-Tx	Pc	mean_pre	0.871690199446286	sd_pre	0.150835728424602	mean_pre
22	Post-Tx-onIS-1M vs Pre-Tx	Ph	mean_pre	0.902898296454111	sd_pre	0.0766747086027542	mean_pre
23	Post-Tx-onIS-1M vs Pre-Tx	Ra	mean_pre	0.869562173284862	sd_pre	0.136041653124298	mean_pre
24	Post-Tx-onIS-1M vs Pre-Tx	Vf	mean_pre	0.90109340211975	sd_pre	0.0985609775132232	mean_pre
25	Post-Tx-onIS-2M vs Pre-Tx	Ac	mean_pre	0.483642572714042	sd_pre	0.67393609224943	mean_pre
26	Post-Tx-onIS-2M vs Pre-Tx	Hp	mean_pre	0.614445292369442	sd_pre	0.42987550023659	mean_pre
27	Post-Tx-onIS-2M vs Pre-Tx	Ic	mean_pre	0.888211966758833	sd_pre	0.150578959880706	mean_pre
28	Post-Tx-onIS-2M vs Pre-Tx	Mb	mean_pre	0.762726207302722	sd_pre	0.369567098794685	mean_pre
29	Post-Tx-onIS-2M vs Pre-Tx	Pc	mean_pre	0.925699481737535	sd_pre	0.0580416511125442	mean_pre
30	Post-Tx-onIS-2M vs Pre-Tx	Ph	mean_pre	0.862662874949338	sd_pre	0.129548527563348	mean_pre
31	Post-Tx-onIS-2M vs Pre-Tx	Ra	mean_pre	0.946499361317887	sd_pre	0.0528655744646308	mean_pre
32	Post-Tx-onIS-2M vs Pre-Tx	Vf	mean_pre	0.858810463163499	sd_pre	0.19662170136361	mean_pre
33	Post-Tx-onIS-3M vs Pre-Tx	Ac	mean_pre	0.651824637982843	sd_pre	0.403132993752249	mean_pre
34	Post-Tx-onIS-3M vs Pre-Tx	Hp	mean_pre	0.708056701339728	sd_pre	0.295330395346075	mean_pre
35	Post-Tx-onIS-3M vs Pre-Tx	Ic	mean_pre	0.75056692344504	sd_pre	0.285702519161994	mean_pre
36	Post-Tx-onIS-3M vs Pre-Tx	Mb	mean_pre	0.704184076320915	sd_pre	0.269018590760463	mean_pre
37	Post-Tx-onIS-3M vs Pre-Tx	Pc	mean_pre	0.7247247297496	sd_pre	0.347379789372415	mean_pre
38	Post-Tx-onIS-3M vs Pre-Tx	Ph	mean_pre	0.645070712148335	sd_pre	0.257010898932148	mean_pre
39	Post-Tx-onIS-3M vs Pre-Tx	Ra	mean_pre	0.643063236934833	sd_pre	0.391709149854302	mean_pre
40	Post-Tx-onIS-3M vs Pre-Tx	Vf	mean_pre	0.819859515555327	sd_pre	0.166705473414095	mean_pre
