site_specific	S	new_grp	mean	sd
1	Ac	0	Post-Tx-offIS-12M	0.459563142065666	0.661097369627154
2	Ac	0	Post-Tx-offIS-24M	0.214346896062227	0.235063394931753
3	Ac	0	Post-Tx-onIS-1M	0.694531673244336	1.45540827781812
4	Ac	0	Post-Tx-onIS-2M	1.02355767858032	1.73848248286743
5	Ac	0	Post-Tx-onIS-3M	0.670234039677914	0.98389199107307
6	Ac	0	Post-Tx-onIS-6M	0.452937903916023	0.933327154412759
7	Ac	0	Pre-Tx	0	0
8	Ac	Abiotrophia NA	Post-Tx-offIS-12M	-0.119341431184854	0.467653126578241
9	Ac	Abiotrophia NA	Post-Tx-offIS-24M	0.380278108855738	0.1468626688063
10	Ac	Abiotrophia NA	Post-Tx-onIS-1M	0.291534749665295	0.293515039673453
11	Ac	Abiotrophia NA	Post-Tx-onIS-2M	1.35036679827392	0
12	Ac	Abiotrophia NA	Post-Tx-onIS-3M	0.764127103437044	0.820165774030451
13	Ac	Abiotrophia NA	Post-Tx-onIS-6M	-0.19080238613069	0.341523947590427
14	Ac	Abiotrophia NA	Pre-Tx	0	0
15	Ac	Abiotrophia defectiva	Post-Tx-offIS-12M	1.31096561141267	0
16	Ac	Abiotrophia defectiva	Post-Tx-onIS-1M	0.499081224598633	0
17	Ac	Abiotrophia defectiva	Post-Tx-onIS-2M	0.896169326704138	0
18	Ac	Abiotrophia defectiva	Post-Tx-onIS-3M	0.717399230481875	0
19	Ac	Abiotrophia defectiva	Pre-Tx	0	0
20	Ac	Acidibacter NA	Post-Tx-offIS-12M	0.417689521711549	0.17477348314776
21	Ac	Acidibacter NA	Post-Tx-offIS-24M	0.185008001003512	0.13431522847752
22	Ac	Acidibacter NA	Post-Tx-onIS-1M	0.207700624095448	0.167560275002184
23	Ac	Acidibacter NA	Post-Tx-onIS-3M	0.119835179637825	0.046619345569883
24	Ac	Acidibacter NA	Post-Tx-onIS-6M	0.205395593121561	0.0455195528292766
25	Ac	Acidibacter NA	Pre-Tx	0	0
26	Ac	Acinetobacter NA	Post-Tx-offIS-12M	-0.35210750896065	0.125365146266323
27	Ac	Acinetobacter NA	Post-Tx-offIS-24M	-0.127738081493252	0
28	Ac	Acinetobacter NA	Post-Tx-onIS-1M	-0.163439870374141	0
29	Ac	Acinetobacter NA	Post-Tx-onIS-2M	0.216347452065876	0.537100382212036
30	Ac	Acinetobacter NA	Post-Tx-onIS-3M	-0.0260218535405922	0.194338423120419
31	Ac	Acinetobacter NA	Post-Tx-onIS-6M	-0.26346096391129	0
32	Ac	Acinetobacter NA	Pre-Tx	0	0
33	Ac	Acinetobacter baumannii	Post-Tx-offIS-12M	0.437507000714661	0.862548896128913
34	Ac	Acinetobacter baumannii	Post-Tx-offIS-24M	0.260798136062614	0.48438714857868
35	Ac	Acinetobacter baumannii	Post-Tx-onIS-6M	0.171854206112426	0
36	Ac	Acinetobacter baumannii	Pre-Tx	0	0
37	Ac	Acinetobacter johnsonii	Post-Tx-offIS-12M	0.198730510992699	0.848092236305327
38	Ac	Acinetobacter johnsonii	Post-Tx-offIS-24M	0.070281367701805	0.799059267599791
39	Ac	Acinetobacter johnsonii	Post-Tx-onIS-6M	0.426538892776467	0.285081037653143
40	Ac	Acinetobacter johnsonii	Pre-Tx	0	0
41	Ac	Acinetobacter junii	Post-Tx-offIS-12M	0.550381281820063	0.375645131338433
42	Ac	Acinetobacter junii	Post-Tx-offIS-24M	0.163937780585919	0.586127059120075
43	Ac	Acinetobacter junii	Post-Tx-onIS-3M	0.255870854212425	0.121068939015799
44	Ac	Acinetobacter junii	Post-Tx-onIS-6M	0.332767635962873	0.363187646685954
45	Ac	Acinetobacter junii	Pre-Tx	0	0
46	Ac	Acinetobacter lwoffii	Post-Tx-offIS-12M	0.417717769599003	0.841833120586711
47	Ac	Acinetobacter lwoffii	Post-Tx-offIS-24M	0.513396242326368	0.612709211760016
48	Ac	Acinetobacter lwoffii	Post-Tx-onIS-1M	-0.269527027953482	0.14901319711659
49	Ac	Acinetobacter lwoffii	Post-Tx-onIS-2M	-0.37489527012091	0
50	Ac	Acinetobacter lwoffii	Post-Tx-onIS-3M	0.254910080961344	0.527125139022113
51	Ac	Acinetobacter lwoffii	Post-Tx-onIS-6M	0.507547151783573	0.552370693582358
52	Ac	Acinetobacter lwoffii	Pre-Tx	0	0
53	Ac	Acinetobacter pittii	Post-Tx-offIS-12M	1.63264535682366	0
54	Ac	Acinetobacter pittii	Post-Tx-offIS-24M	-0.154820970853619	0.557909747258273
55	Ac	Acinetobacter pittii	Post-Tx-onIS-1M	-0.163439870374141	0
56	Ac	Acinetobacter pittii	Post-Tx-onIS-2M	0.0404198738947478	0
57	Ac	Acinetobacter pittii	Post-Tx-onIS-3M	0.135000930295402	0.202145734717593
58	Ac	Acinetobacter pittii	Post-Tx-onIS-6M	0.460113800555834	0.162657439188394
59	Ac	Acinetobacter pittii	Pre-Tx	0	0
60	Ac	Acinetobacter radioresistens	Post-Tx-offIS-12M	-0.0839444498575946	0.290830911753341
61	Ac	Acinetobacter radioresistens	Post-Tx-offIS-24M	0.432895370775643	0.721486554911825
62	Ac	Acinetobacter radioresistens	Post-Tx-onIS-6M	-0.22508130266296	0.561351579897616
63	Ac	Acinetobacter radioresistens	Pre-Tx	0	0
64	Ac	Acinetobacter ursingii	Post-Tx-offIS-12M	0.360383407598729	0.436811318003873
65	Ac	Acinetobacter ursingii	Post-Tx-offIS-24M	0.686749916288007	0.844143933663018
66	Ac	Acinetobacter ursingii	Post-Tx-onIS-3M	0.159227142383542	0
67	Ac	Acinetobacter ursingii	Post-Tx-onIS-6M	0.0155989246483753	0.394650279115403
68	Ac	Acinetobacter ursingii	Pre-Tx	0	0
69	Ac	Actinobacillus NA	Post-Tx-onIS-1M	-0.0148638902320136	0
70	Ac	Actinobacillus NA	Post-Tx-onIS-2M	0.34123288505164	0
71	Ac	Actinobacillus NA	Post-Tx-onIS-3M	-0.0366847998227221	0.179258739873375
72	Ac	Actinobacillus NA	Pre-Tx	0	0
73	Ac	Actinomyces NA	Post-Tx-offIS-12M	0.133242452195214	0.680100154365936
74	Ac	Actinomyces NA	Post-Tx-offIS-24M	-0.276843633008044	0.496380244191004
75	Ac	Actinomyces NA	Post-Tx-onIS-1M	0.0311428202871061	0.276198180061909
76	Ac	Actinomyces NA	Post-Tx-onIS-2M	0.468179061664521	0.34144759975172
77	Ac	Actinomyces NA	Post-Tx-onIS-3M	0.352953147138772	0.613956478376457
78	Ac	Actinomyces NA	Post-Tx-onIS-6M	0.510275323007835	0.843292306800196
79	Ac	Actinomyces NA	Pre-Tx	0	0
80	Ac	Actinomyces gerencseriae	Post-Tx-offIS-12M	0.26042147168522	0
81	Ac	Actinomyces gerencseriae	Post-Tx-onIS-3M	0.111396163292957	0
82	Ac	Actinomyces gerencseriae	Pre-Tx	0	0
83	Ac	Actinomyces ihuae	Post-Tx-offIS-12M	0.197019299781849	0
84	Ac	Actinomyces ihuae	Post-Tx-onIS-2M	0.476658500832617	0
85	Ac	Actinomyces ihuae	Post-Tx-onIS-3M	0.218242262476675	0
86	Ac	Actinomyces ihuae	Pre-Tx	0	0
87	Ac	Actinomyces massiliensis	Post-Tx-offIS-24M	0.106797363456016	0
88	Ac	Actinomyces massiliensis	Pre-Tx	0	0
89	Ac	Actinomyces naeslundii	Post-Tx-offIS-12M	0.248765693081622	0.450134859594935
90	Ac	Actinomyces naeslundii	Post-Tx-offIS-24M	0.243468963497601	0.204342442077606
91	Ac	Actinomyces naeslundii	Post-Tx-onIS-1M	-0.226703236845265	0
92	Ac	Actinomyces naeslundii	Post-Tx-onIS-2M	0.0744532533394485	0.425899592815902
93	Ac	Actinomyces naeslundii	Post-Tx-onIS-3M	0.383480110395868	0.862929565202623
94	Ac	Actinomyces naeslundii	Post-Tx-onIS-6M	0.55924379716322	0.859023286588212
95	Ac	Actinomyces naeslundii	Pre-Tx	0	0
96	Ac	Actinomyces oris	Post-Tx-onIS-2M	0.642916257179254	0
97	Ac	Actinomyces oris	Post-Tx-onIS-3M	0.651476280570307	0
98	Ac	Actinomyces oris	Pre-Tx	0	0
99	Ac	Actinomyces pacaensis	Post-Tx-offIS-12M	0.10958745758731	0
100	Ac	Actinomyces pacaensis	Pre-Tx	0	0
101	Ac	Actinomyces viscosus	Post-Tx-offIS-12M	0.209350596812494	0
102	Ac	Actinomyces viscosus	Post-Tx-offIS-24M	0.205167738247119	0
