,DOCK8Poly_1,OR089089.1,DOCK8Poly_2,BK010702.1,DOCK8Poly_3,DOCK8Poly_11,DOCK8Poly_13,DOCK8Poly_6,DOCK8Poly_4,DOCK8Poly_10,NC_020106.1,DOCK8Poly_7,DOCK8Poly_12,DOCK8Poly_5,DOCK8Poly_9,DOCK8Poly_8,DOCK8Poly_14,NC_020890.1,NC_024118.1,NC_034253.1
DOCK8Poly_1,0.0,0.1773992521811384,0.33660933660933656,0.34184514003294897,0.5297691373025517,0.5253827558420628,0.5473849783720015,0.5415528677331253,0.4857723577235772,0.49045103616416086,0.48720032507110933,0.4725943970767357,0.4752233956133225,0.47483766233766234,0.5174069627851141,0.5306760453302071,0.5905220288781933,0.5900297619047619,0.5546816479400749,0.581484049930652
OR089089.1,0.1773992521811384,0.0,0.3431492842535788,0.3475935828877005,0.5372771474878444,0.5275875956504229,0.5554245283018868,0.5471918876755071,0.49207639171068673,0.5020325203252032,0.49430894308943085,0.4762677484787018,0.4748580697485807,0.4720194647201946,0.5289652417099481,0.53198127925117,0.5868196964087374,0.5924823222925195,0.5513878469617404,0.5751905751905753
DOCK8Poly_2,0.33660933660933656,0.3431492842535788,0.0,0.23548785508439674,0.5234817813765182,0.5291985501409585,0.5368996485747755,0.5432338115548663,0.48906882591093115,0.4906882591093117,0.4951417004048583,0.47381242387332523,0.4693463256191637,0.4709703613479497,0.5157558835261269,0.5227892481495908,0.589279112754159,0.5895050241905471,0.5557217651458488,0.5879101899827288
BK010702.1,0.34184514003294897,0.3475935828877005,0.23548785508439674,0.0,0.536149471974005,0.5324465941152761,0.5486656200941915,0.5568535825545171,0.5024311183144248,0.5046577561765897,0.5016207455429498,0.4793187347931873,0.4746450304259635,0.47891321978913215,0.5212,0.5185764567852953,0.5997782705099779,0.5902985074626865,0.5672032946462,0.5942580421999308
DOCK8Poly_3,0.5297691373025517,0.5372771474878444,0.5234817813765182,0.536149471974005,0.0,0.30690970750317925,0.49300279888044785,0.4847161572052402,0.5020525451559934,0.4991783073130649,0.49609856262833674,0.4959183673469387,0.5004078303425775,0.503265306122449,0.48941368078175895,0.5058502340093604,0.6005221932114883,0.5742424242424242,0.5552581261950287,0.6076736951261665
DOCK8Poly_11,0.5253827558420628,0.5275875956504229,0.5291985501409585,0.5324465941152761,0.30690970750317925,0.0,0.46558544303797467,0.4725058915946583,0.48721071863581,0.4900608519269777,0.492288961038961,0.486223662884927,0.48256285482562855,0.48400162008910486,0.4985778138967899,0.5124127230411171,0.6017863788611835,0.5612514134941575,0.5373475609756098,0.5994494150034411
DOCK8Poly_13,0.5473849783720015,0.5554245283018868,0.5368996485747755,0.5486656200941915,0.49300279888044785,0.46558544303797467,0.0,0.2356085526315791,0.5133094954310687,0.5178713264495631,0.517474185861795,0.5171740827478533,0.515234375,0.5181428014046039,0.5520431765612953,0.5315552216378663,0.6073776479181884,0.5977713874910137,0.5957215373459028,0.6085934877475663
DOCK8Poly_6,0.5415528677331253,0.5471918876755071,0.5432338115548663,0.5568535825545171,0.4847161572052402,0.4725058915946583,0.2356085526315791,0.0,0.5195266272189349,0.514589905362776,0.511435331230284,0.5151162790697674,0.5108611326609775,0.5184037194885703,0.5513016845329248,0.5428784489187175,0.6081277213352685,0.6017857142857144,0.5868155619596542,0.6099432766099433
DOCK8Poly_4,0.4857723577235772,0.49207639171068673,0.48906882591093115,0.5024311183144248,0.5020525451559934,0.48721071863581,0.5133094954310687,0.5195266272189349,0.0,0.07821229050279332,0.0739466895958727,0.3706176961602671,0.36883876357560563,0.3708802670004172,0.49196141479099675,0.5040776699029126,0.5933983495873969,0.5485200449606594,0.5476911430734293,0.5721254355400698
DOCK8Poly_10,0.49045103616416086,0.5020325203252032,0.4906882591093117,0.5046577561765897,0.4991783073130649,0.4900608519269777,0.5178713264495631,0.514589905362776,0.07821229050279332,0.0,0.05717970765262248,0.3671679197994987,0.3697829716193656,0.36617954070981207,0.49256729610285255,0.5036921881072678,0.5930232558139534,0.5517241379310345,0.5531995456266565,0.5761589403973509
